session_id,customer_id,session_start,session_end,duration_seconds,device_type,browser,os,entry_page,exit_page,page_views,referrer,authenticated,converted
WSN000000000030,CUST000023,2026-06-23 11:28:00,2026-06-23 11:30:53,173.9,Desktop,Chrome,macOS,/outage-status,/plans,7,Email,True,False
WSN000000000031,CUST000023,2026-06-26 05:28:00,2026-06-26 05:32:09,249.3,Desktop,Edge,Windows,/support,/account,7,Direct,False,False
WSN000000000032,CUST000023,2026-06-11 05:29:00,2026-06-11 05:30:28,88.1,Desktop,Chrome,Windows,/billing,/upgrade,9,Direct,False,False
WSN000000000033,CUST000023,2026-06-14 03:35:00,2026-06-14 03:39:23,263.5,Desktop,Safari,macOS,/home,/account,8,Search,False,False
WSN000000000034,CUST000023,2026-06-14 02:02:00,2026-06-14 02:06:59,299.0,Desktop,Edge,Windows,/outage-status,/home,9,Email,True,False
WSN000000000035,CUST000023,2026-05-31 18:34:00,2026-05-31 18:34:52,52.6,Desktop,Chrome,Windows,/plans,/support,3,Social,True,True
WSN000000000036,CUST000028,2026-06-25 08:17:00,2026-06-25 08:17:10,10.7,Mobile,Chrome,iOS,/account,/account,1,Direct,True,False
WSN000000000037,CUST000028,2026-06-02 16:05:00,2026-06-02 16:07:30,150.7,Desktop,Chrome,Windows,/home,/upgrade,8,Search,True,False
WSN000000000038,CUST000030,2026-06-01 22:26:00,2026-06-01 22:26:16,16.3,Desktop,Edge,Windows,/home,/upgrade,2,Email,True,False
WSN000000000039,CUST000031,2026-06-11 04:36:00,2026-06-11 04:37:47,107.9,Desktop,Chrome,Windows,/billing,/upgrade,9,Search,True,False
WSN000000000040,CUST000031,2026-06-21 04:48:00,2026-06-21 04:52:55,295.3,Desktop,Edge,Windows,/outage-status,/home,11,Email,True,False
WSN000000000041,CUST000031,2026-06-15 14:52:00,2026-06-15 14:56:02,242.4,Mobile,Safari,iOS,/account,/plans,6,Search,False,False
WSN000000000042,CUST000031,2026-06-24 04:16:00,2026-06-24 04:19:23,203.8,Desktop,Chrome,Windows,/billing,/upgrade,5,Search,False,False
WSN000000000043,CUST000031,2026-06-03 21:42:00,2026-06-03 21:46:02,242.3,Mobile,Chrome,Android,/upgrade,/upgrade,6,Direct,True,False
WSN000000000044,CUST000034,2026-06-12 23:49:00,2026-06-12 23:55:30,390.9,Desktop,Safari,macOS,/upgrade,/billing,9,Search,True,False
WSN000000000045,CUST000034,2026-06-04 07:15:00,2026-06-04 07:17:02,122.1,Desktop,Edge,Windows,/support,/outage-status,4,Search,False,False
WSN000000000046,CUST000034,2026-06-21 12:57:00,2026-06-21 13:00:23,203.2,Desktop,Chrome,Windows,/home,/outage-status,12,Direct,False,False
WSN000000000047,CUST000034,2026-06-25 01:58:00,2026-06-25 01:58:31,31.4,Tablet,Safari,iOS,/upgrade,/upgrade,1,Direct,True,False
WSN000000000048,CUST000034,2026-06-21 13:05:00,2026-06-21 13:06:23,83.1,Desktop,Edge,Windows,/outage-status,/home,4,Search,True,True
WSN000000000049,CUST000034,2026-06-17 19:00:00,2026-06-17 19:01:44,104.7,Desktop,Edge,Windows,/upgrade,/billing,11,Email,True,False
WSN000000000050,CUST000034,2026-06-02 08:43:00,2026-06-02 08:44:08,68.5,Desktop,Edge,Windows,/account,/support,4,Email,False,False
WSN000000000051,CUST000035,2026-06-22 21:38:00,2026-06-22 21:39:22,82.3,Desktop,Chrome,macOS,/account,/support,4,Email,True,False
WSN000000000052,CUST000035,2026-06-26 04:13:00,2026-06-26 04:15:04,124.3,Tablet,Chrome,Android,/outage-status,/outage-status,8,Social,False,False
WSN000000000053,CUST000035,2026-06-11 03:55:00,2026-06-11 03:58:07,187.3,Desktop,Chrome,macOS,/home,/home,8,Social,True,False
WSN000000000054,CUST000035,2026-06-17 04:21:00,2026-06-17 04:25:46,286.0,Mobile,Chrome,Android,/outage-status,/billing,12,Direct,False,False
WSN000000000055,CUST000035,2026-06-12 05:54:00,2026-06-12 05:58:16,256.5,Mobile,Safari,iOS,/billing,/billing,8,Direct,False,False
WSN000000000056,CUST000035,2026-06-05 18:24:00,2026-06-05 18:29:32,332.9,Desktop,Edge,Windows,/outage-status,/home,9,Social,True,False
WSN000000000057,CUST000036,2026-06-13 03:25:00,2026-06-13 03:29:25,265.2,Mobile,Safari,iOS,/support,/support,6,Direct,True,False
WSN000000000058,CUST000036,2026-06-20 15:11:00,2026-06-20 15:12:48,108.1,Desktop,Chrome,Windows,/outage-status,/support,7,Direct,True,True
WSN000000000059,CUST000037,2026-06-14 22:12:00,2026-06-14 22:14:59,179.0,Mobile,Safari,iOS,/outage-status,/account,10,Ad,True,True
WSN000000000060,CUST000037,2026-06-16 07:37:00,2026-06-16 07:37:42,42.2,Desktop,Edge,Windows,/home,/home,2,Search,False,False
WSN000000000061,CUST000037,2026-06-02 06:55:00,2026-06-02 07:02:38,458.9,Tablet,Chrome,Android,/home,/plans,12,Search,False,False
WSN000000000062,CUST000037,2026-06-18 23:24:00,2026-06-18 23:25:42,102.6,Mobile,Chrome,iOS,/account,/billing,9,Email,True,False
WSN000000000063,CUST000037,2026-06-29 22:34:00,2026-06-29 22:40:31,391.9,Desktop,Safari,macOS,/account,/plans,9,Search,True,True
WSN000000000064,CUST000037,2026-06-14 14:09:00,2026-06-14 14:11:10,130.1,Tablet,Safari,iOS,/home,/outage-status,9,Search,True,True
WSN000000000065,CUST000039,2026-06-26 16:14:00,2026-06-26 16:14:35,35.4,Desktop,Chrome,macOS,/home,/home,1,Direct,True,False
WSN000000000066,CUST000039,2026-06-18 20:22:00,2026-06-18 20:23:22,82.6,Tablet,Safari,iOS,/home,/home,8,Search,True,False
WSN000000000067,CUST000039,2026-06-10 05:36:00,2026-06-10 05:37:47,107.5,Desktop,Chrome,Windows,/home,/upgrade,12,Social,False,False
WSN000000000068,CUST000039,2026-06-05 09:48:00,2026-06-05 09:48:46,46.5,Mobile,Safari,iOS,/upgrade,/billing,2,Direct,True,False
WSN000000000069,CUST000039,2026-06-02 12:48:00,2026-06-02 12:51:52,232.0,Desktop,Chrome,Windows,/outage-status,/plans,12,Social,True,False
WSN000000000070,CUST000039,2026-06-14 02:42:00,2026-06-14 02:43:11,71.2,Desktop,Chrome,macOS,/plans,/home,5,Direct,True,False
WSN000000000071,CUST000041,2026-06-26 16:37:00,2026-06-26 16:37:43,43.5,Desktop,Chrome,Windows,/upgrade,/outage-status,3,Search,True,False
WSN000000000072,CUST000041,2026-06-16 16:31:00,2026-06-16 16:31:41,41.9,Desktop,Firefox,Windows,/billing,/billing,1,Direct,False,False
WSN000000000073,CUST000041,2026-06-15 17:28:00,2026-06-15 17:32:59,299.2,Desktop,Chrome,macOS,/plans,/support,11,Direct,False,False
WSN000000000074,CUST000042,2026-06-29 23:10:00,2026-06-29 23:10:56,56.7,Mobile,Chrome,Android,/upgrade,/outage-status,2,Search,False,False
WSN000000000075,CUST000042,2026-06-21 07:07:00,2026-06-21 07:11:08,248.3,Desktop,Chrome,Windows,/outage-status,/outage-status,10,Social,False,False
WSN000000000076,CUST000042,2026-06-24 17:09:00,2026-06-24 17:12:43,223.5,Mobile,Chrome,iOS,/support,/billing,11,Social,True,True
WSN000000000077,CUST000042,2026-06-19 01:59:00,2026-06-19 02:04:25,325.0,Desktop,Edge,Windows,/billing,/home,10,Social,True,False
WSN000000000078,CUST000042,2026-06-25 13:21:00,2026-06-25 13:23:20,140.2,Tablet,Chrome,Android,/support,/account,11,Direct,False,False
WSN000000000079,CUST000042,2026-06-07 10:27:00,2026-06-07 10:31:36,276.2,Mobile,Chrome,Android,/support,/home,8,Search,True,False
WSN000000000080,CUST000044,2026-06-11 15:38:00,2026-06-11 15:42:56,296.3,Desktop,Edge,Windows,/outage-status,/upgrade,10,Search,True,False
WSN000000000081,CUST000044,2026-05-31 12:57:00,2026-05-31 12:58:13,73.4,Mobile,Chrome,Android,/plans,/plans,7,Search,True,False
WSN000000000082,CUST000044,2026-06-21 04:15:00,2026-06-21 04:16:27,87.7,Mobile,Safari,iOS,/plans,/outage-status,9,Email,True,False
WSN000000000083,CUST000049,2026-06-11 19:57:00,2026-06-11 20:01:52,292.7,Desktop,Edge,Windows,/home,/upgrade,12,Email,False,False
WSN000000000084,CUST000049,2026-06-29 16:26:00,2026-06-29 16:27:21,81.5,Desktop,Chrome,Windows,/account,/upgrade,8,Search,True,True
WSN000000000085,CUST000049,2026-06-17 09:02:00,2026-06-17 09:06:00,240.3,Desktop,Chrome,Windows,/billing,/home,7,Direct,False,False
WSN000000000086,CUST000049,2026-06-06 02:10:00,2026-06-06 02:11:05,65.7,Mobile,Safari,iOS,/outage-status,/billing,4,Search,False,False
WSN000000000087,CUST000049,2026-06-24 12:23:00,2026-06-24 12:26:12,192.0,Desktop,Edge,Windows,/outage-status,/account,9,Search,True,False
WSN000000000088,CUST000049,2026-06-06 00:23:00,2026-06-06 00:26:12,192.8,Desktop,Edge,Windows,/home,/upgrade,7,Search,False,False
WSN000000000089,CUST000049,2026-06-22 06:48:00,2026-06-22 06:52:36,276.9,Mobile,Safari,iOS,/account,/billing,9,Direct,False,False
WSN000000000090,CUST000049,2026-06-14 12:32:00,2026-06-14 12:39:11,431.0,Desktop,Safari,macOS,/outage-status,/upgrade,12,Direct,True,False
WSN000000000091,CUST000053,2026-06-07 06:02:00,2026-06-07 06:02:15,15.2,Mobile,Chrome,Android,/home,/home,1,Email,True,False
WSN000000000092,CUST000053,2026-06-26 19:56:00,2026-06-26 19:56:12,12.6,Tablet,Chrome,Android,/support,/support,1,Direct,False,False
WSN000000000093,CUST000054,2026-06-28 02:22:00,2026-06-28 02:27:34,334.1,Desktop,Chrome,macOS,/account,/account,12,Email,False,False
WSN000000000094,CUST000054,2026-06-28 06:26:00,2026-06-28 06:34:08,488.1,Mobile,Safari,iOS,/plans,/plans,11,Direct,False,False
WSN000000000095,CUST000054,2026-06-05 05:06:00,2026-06-05 05:13:14,434.9,Desktop,Edge,Windows,/home,/upgrade,12,Search,False,False
WSN000000000096,CUST000054,2026-06-05 23:40:00,2026-06-05 23:48:18,498.4,Desktop,Edge,Windows,/support,/home,12,Direct,False,False
WSN000000000097,CUST000054,2026-06-09 13:47:00,2026-06-09 13:50:04,184.0,Mobile,Chrome,Android,/upgrade,/billing,6,Email,False,False
WSN000000000098,CUST000054,2026-06-08 09:53:00,2026-06-08 09:55:12,132.6,Desktop,Firefox,Windows,/upgrade,/support,4,Direct,False,False
WSN000000000099,CUST000054,2026-05-31 22:35:00,2026-05-31 22:41:01,361.1,Mobile,Safari,iOS,/support,/billing,10,Direct,True,True
WSN000000000100,CUST000055,2026-06-09 13:18:00,2026-06-09 13:18:41,41.7,Mobile,Chrome,Android,/outage-status,/outage-status,1,Direct,True,False
WSN000000000101,CUST000055,2026-06-17 14:23:00,2026-06-17 14:29:16,376.5,Mobile,Safari,iOS,/account,/support,10,Search,True,False
WSN000000000102,CUST000056,2026-06-19 02:47:00,2026-06-19 02:48:41,101.2,Tablet,Chrome,Android,/home,/upgrade,9,Social,True,False
WSN000000000103,CUST000056,2026-05-31 20:37:00,2026-05-31 20:43:20,380.4,Mobile,Chrome,Android,/support,/home,10,Search,True,False
WSN000000000104,CUST000058,2026-06-14 10:01:00,2026-06-14 10:05:19,259.2,Desktop,Edge,Windows,/upgrade,/outage-status,8,Email,True,False
WSN000000000105,CUST000058,2026-06-07 04:35:00,2026-06-07 04:42:06,426.0,Desktop,Chrome,macOS,/outage-status,/account,11,Email,False,False
WSN000000000106,CUST000058,2026-06-27 18:09:00,2026-06-27 18:12:44,224.2,Desktop,Chrome,Windows,/plans,/support,6,Email,False,False
WSN000000000107,CUST000058,2026-06-17 16:43:00,2026-06-17 16:44:26,86.6,Desktop,Edge,Windows,/account,/account,6,Search,True,False
WSN000000000108,CUST000058,2026-06-22 13:16:00,2026-06-22 13:19:43,223.5,Mobile,Chrome,Android,/support,/upgrade,11,Direct,True,False
WSN000000000109,CUST000058,2026-06-03 18:43:00,2026-06-03 18:44:21,81.3,Desktop,Chrome,Windows,/support,/home,4,Direct,False,False
WSN000000000110,CUST000059,2026-06-08 18:47:00,2026-06-08 18:48:14,74.1,Tablet,Chrome,Android,/upgrade,/billing,2,Search,True,False
WSN000000000111,CUST000059,2026-06-10 03:50:00,2026-06-10 03:53:19,199.6,Desktop,Chrome,Windows,/support,/outage-status,7,Search,False,False
WSN000000000112,CUST000059,2026-06-12 14:37:00,2026-06-12 14:39:34,154.3,Mobile,Safari,iOS,/outage-status,/outage-status,4,Direct,True,True
WSN000000000113,CUST000059,2026-06-27 16:40:00,2026-06-27 16:40:51,51.4,Mobile,Safari,iOS,/upgrade,/billing,2,Email,True,True
WSN000000000114,CUST000059,2026-06-08 15:08:00,2026-06-08 15:13:14,314.7,Desktop,Chrome,Windows,/account,/account,12,Search,True,False
WSN000000000115,CUST000059,2026-06-20 08:27:00,2026-06-20 08:31:35,275.5,Desktop,Safari,macOS,/home,/account,7,Email,True,True
WSN000000000116,CUST000059,2026-06-13 19:04:00,2026-06-13 19:04:13,13.1,Mobile,Chrome,iOS,/plans,/plans,1,Direct,False,False
WSN000000000117,CUST000059,2026-06-10 22:28:00,2026-06-10 22:35:15,435.6,Desktop,Chrome,Windows,/home,/outage-status,10,Email,True,False
WSN000000000118,CUST000060,2026-06-06 02:58:00,2026-06-06 03:01:27,207.2,Mobile,Safari,iOS,/account,/support,11,Email,True,True
WSN000000000119,CUST000060,2026-06-08 02:43:00,2026-06-08 02:49:44,404.7,Desktop,Safari,macOS,/account,/support,10,Search,True,False
WSN000000000120,CUST000060,2026-06-29 09:02:00,2026-06-29 09:03:07,67.7,Mobile,Chrome,Android,/outage-status,/outage-status,3,Direct,True,False
WSN000000000121,CUST000062,2026-06-22 01:44:00,2026-06-22 01:45:38,98.1,Desktop,Chrome,Windows,/home,/billing,3,Search,True,True
WSN000000000122,CUST000062,2026-06-16 07:50:00,2026-06-16 07:51:24,84.6,Desktop,Chrome,Windows,/outage-status,/upgrade,3,Direct,True,False
WSN000000000123,CUST000062,2026-06-29 13:32:00,2026-06-29 13:35:22,202.9,Mobile,Safari,iOS,/outage-status,/outage-status,12,Search,True,True
WSN000000000124,CUST000062,2026-06-06 00:33:00,2026-06-06 00:37:23,263.1,Desktop,Safari,macOS,/upgrade,/account,6,Search,False,False
WSN000000000125,CUST000064,2026-06-25 22:45:00,2026-06-25 22:49:30,270.3,Desktop,Chrome,Windows,/plans,/home,7,Search,True,False
WSN000000000126,CUST000064,2026-06-10 14:45:00,2026-06-10 14:46:06,66.9,Tablet,Chrome,Android,/home,/support,2,Social,True,False
WSN000000000127,CUST000066,2026-06-05 10:26:00,2026-06-05 10:27:26,86.8,Mobile,Safari,iOS,/plans,/billing,7,Social,False,False
WSN000000000128,CUST000066,2026-06-15 00:56:00,2026-06-15 00:59:18,198.6,Mobile,Chrome,Android,/account,/billing,5,Direct,True,True
WSN000000000129,CUST000066,2026-06-11 05:11:00,2026-06-11 05:14:33,213.1,Tablet,Chrome,Android,/account,/account,6,Email,False,False
WSN000000000130,CUST000068,2026-06-26 20:01:00,2026-06-26 20:03:29,149.7,Desktop,Safari,macOS,/support,/support,11,Direct,True,True
WSN000000000131,CUST000068,2026-06-02 13:10:00,2026-06-02 13:18:05,485.2,Tablet,Safari,iOS,/account,/support,12,Email,True,True
WSN000000000132,CUST000069,2026-05-31 02:24:00,2026-05-31 02:27:43,223.7,Desktop,Chrome,Windows,/plans,/plans,10,Email,True,False
WSN000000000133,CUST000069,2026-06-14 22:26:00,2026-06-14 22:27:30,90.2,Desktop,Chrome,Windows,/billing,/billing,10,Search,False,False
WSN000000000134,CUST000069,2026-06-05 18:06:00,2026-06-05 18:08:30,150.9,Desktop,Edge,Windows,/support,/support,11,Direct,True,False
WSN000000000135,CUST000069,2026-06-15 09:32:00,2026-06-15 09:32:49,49.3,Desktop,Edge,Windows,/upgrade,/home,5,Direct,False,False
WSN000000000136,CUST000069,2026-06-14 07:04:00,2026-06-14 07:11:16,436.5,Desktop,Chrome,Windows,/home,/outage-status,11,Search,True,False
WSN000000000137,CUST000069,2026-06-27 11:58:00,2026-06-27 11:58:41,41.8,Mobile,Safari,iOS,/billing,/home,2,Ad,False,False
WSN000000000138,CUST000069,2026-06-11 12:16:00,2026-06-11 12:17:33,93.7,Mobile,Chrome,Android,/support,/plans,9,Email,True,False
WSN000000000139,CUST000070,2026-06-08 07:10:00,2026-06-08 07:14:22,262.6,Tablet,Safari,iOS,/upgrade,/outage-status,6,Direct,True,False
WSN000000000140,CUST000070,2026-06-23 22:49:00,2026-06-23 22:53:38,278.7,Mobile,Safari,iOS,/plans,/upgrade,12,Direct,True,True
WSN000000000141,CUST000070,2026-06-26 00:35:00,2026-06-26 00:38:05,185.8,Desktop,Chrome,Windows,/upgrade,/home,9,Direct,True,True
WSN000000000142,CUST000070,2026-06-20 00:09:00,2026-06-20 00:13:38,278.6,Desktop,Chrome,Windows,/billing,/upgrade,8,Search,True,True
WSN000000000143,CUST000070,2026-06-09 06:16:00,2026-06-09 06:16:41,41.4,Desktop,Edge,Windows,/outage-status,/outage-status,3,Direct,False,False
WSN000000000144,CUST000071,2026-06-02 10:44:00,2026-06-02 10:50:17,377.7,Mobile,Safari,iOS,/account,/account,10,Direct,True,False
WSN000000000145,CUST000071,2026-06-17 07:45:00,2026-06-17 07:47:49,169.9,Mobile,Chrome,Android,/home,/billing,4,Search,False,False
WSN000000000146,CUST000071,2026-06-12 21:11:00,2026-06-12 21:14:20,200.2,Desktop,Firefox,Windows,/outage-status,/support,8,Search,True,False
WSN000000000147,CUST000071,2026-06-17 06:08:00,2026-06-17 06:09:42,102.5,Desktop,Chrome,Windows,/upgrade,/home,3,Search,True,False
WSN000000000148,CUST000071,2026-06-28 21:30:00,2026-06-28 21:35:14,314.4,Mobile,Safari,iOS,/billing,/account,9,Direct,False,False
WSN000000000149,CUST000071,2026-06-11 16:06:00,2026-06-11 16:10:45,285.8,Desktop,Edge,Windows,/billing,/outage-status,11,Search,True,False
WSN000000000150,CUST000072,2026-06-17 08:06:00,2026-06-17 08:08:52,172.1,Desktop,Edge,Windows,/support,/support,6,Email,True,True
WSN000000000151,CUST000072,2026-06-14 09:20:00,2026-06-14 09:20:35,35.7,Desktop,Chrome,Windows,/billing,/billing,1,Direct,True,False
WSN000000000152,CUST000075,2026-06-13 19:17:00,2026-06-13 19:19:26,146.7,Desktop,Chrome,Windows,/plans,/plans,6,Direct,True,False
WSN000000000153,CUST000075,2026-06-23 04:11:00,2026-06-23 04:13:24,144.3,Tablet,Chrome,iOS,/account,/billing,6,Search,True,True
WSN000000000154,CUST000078,2026-06-09 22:31:00,2026-06-09 22:31:57,57.9,Mobile,Safari,iOS,/account,/billing,2,Social,True,True
WSN000000000155,CUST000078,2026-06-06 05:59:00,2026-06-06 06:03:06,246.4,Desktop,Safari,macOS,/upgrade,/plans,8,Social,True,False
WSN000000000156,CUST000078,2026-06-17 02:48:00,2026-06-17 02:50:25,145.2,Mobile,Chrome,iOS,/outage-status,/plans,12,Search,True,False
WSN000000000157,CUST000078,2026-06-25 20:17:00,2026-06-25 20:17:53,53.8,Mobile,Safari,iOS,/account,/account,5,Direct,True,False
WSN000000000158,CUST000078,2026-06-16 03:49:00,2026-06-16 03:49:34,34.9,Desktop,Edge,Windows,/home,/home,1,Direct,True,False
WSN000000000159,CUST000078,2026-06-07 07:01:00,2026-06-07 07:01:56,56.0,Mobile,Chrome,Android,/billing,/upgrade,5,Email,True,False
WSN000000000160,CUST000078,2026-06-02 23:08:00,2026-06-02 23:16:19,499.1,Tablet,Safari,iOS,/support,/account,12,Direct,False,False
WSN000000000161,CUST000079,2026-06-01 01:06:00,2026-06-01 01:10:24,264.8,Mobile,Safari,iOS,/billing,/account,10,Email,False,False
WSN000000000162,CUST000079,2026-06-27 07:57:00,2026-06-27 07:57:34,34.2,Desktop,Firefox,macOS,/support,/support,1,Search,True,False
WSN000000000163,CUST000079,2026-06-28 00:28:00,2026-06-28 00:31:59,239.0,Mobile,Chrome,Android,/billing,/support,7,Direct,False,False
WSN000000000164,CUST000079,2026-06-11 17:45:00,2026-06-11 17:46:58,118.5,Mobile,Chrome,Android,/home,/billing,8,Search,True,False
WSN000000000165,CUST000080,2026-06-15 21:56:00,2026-06-15 22:00:02,242.3,Desktop,Chrome,Windows,/account,/outage-status,11,Social,False,False
WSN000000000166,CUST000080,2026-06-08 14:03:00,2026-06-08 14:03:49,49.4,Desktop,Firefox,Windows,/upgrade,/support,2,Email,True,False
WSN000000000167,CUST000080,2026-06-08 04:31:00,2026-06-08 04:35:49,289.9,Desktop,Chrome,Windows,/upgrade,/support,8,Search,False,False
WSN000000000168,CUST000080,2026-06-20 03:40:00,2026-06-20 03:43:49,229.7,Mobile,Chrome,Android,/plans,/upgrade,11,Direct,True,False
WSN000000000169,CUST000081,2026-06-18 11:35:00,2026-06-18 11:38:57,237.8,Mobile,Chrome,iOS,/support,/outage-status,7,Direct,True,True
WSN000000000170,CUST000081,2026-06-09 19:52:00,2026-06-09 19:55:26,206.6,Mobile,Chrome,Android,/support,/outage-status,11,Direct,False,False
WSN000000000171,CUST000081,2026-06-24 08:42:00,2026-06-24 08:45:20,200.2,Desktop,Safari,macOS,/support,/home,11,Direct,False,False
WSN000000000172,CUST000081,2026-06-24 01:31:00,2026-06-24 01:32:00,60.5,Mobile,Chrome,Android,/home,/plans,2,Direct,False,False
WSN000000000173,CUST000081,2026-06-20 13:23:00,2026-06-20 13:23:24,24.3,Mobile,Safari,iOS,/outage-status,/upgrade,3,Direct,True,False
WSN000000000174,CUST000081,2026-06-17 08:28:00,2026-06-17 08:28:36,36.1,Desktop,Chrome,macOS,/upgrade,/upgrade,1,Social,True,True
WSN000000000175,CUST000081,2026-06-25 06:33:00,2026-06-25 06:35:45,165.0,Mobile,Chrome,Android,/outage-status,/billing,8,Direct,True,True
WSN000000000176,CUST000087,2026-06-26 02:37:00,2026-06-26 02:38:18,78.3,Desktop,Chrome,Windows,/outage-status,/upgrade,6,Search,True,False
WSN000000000177,CUST000088,2026-06-20 13:44:00,2026-06-20 13:49:22,322.0,Mobile,Chrome,Android,/account,/account,11,Search,True,True
WSN000000000178,CUST000088,2026-06-05 14:47:00,2026-06-05 14:50:53,233.1,Mobile,Safari,iOS,/plans,/upgrade,7,Email,True,False
WSN000000000179,CUST000088,2026-06-15 06:34:00,2026-06-15 06:39:13,313.0,Mobile,Chrome,Android,/plans,/billing,9,Direct,False,False
WSN000000000180,CUST000088,2026-06-07 20:01:00,2026-06-07 20:01:39,39.6,Desktop,Firefox,macOS,/plans,/plans,1,Search,False,False
WSN000000000181,CUST000088,2026-06-28 03:02:00,2026-06-28 03:07:57,357.6,Mobile,Safari,iOS,/upgrade,/account,8,Direct,True,True
WSN000000000182,CUST000088,2026-06-09 03:44:00,2026-06-09 03:48:12,252.1,Mobile,Firefox,Android,/account,/upgrade,10,Direct,True,False
WSN000000000183,CUST000088,2026-06-21 20:58:00,2026-06-21 21:01:31,211.9,Mobile,Chrome,Android,/support,/account,12,Search,True,False
WSN000000000184,CUST000089,2026-06-18 18:37:00,2026-06-18 18:39:05,125.5,Desktop,Edge,Windows,/outage-status,/upgrade,3,Direct,True,False
