invoice_line_id,invoice_id,description,category,amount
INL00000074,INV0000051,Partial month proration,one-time,25.29
INL00000075,INV0000051,Data usage overage,usage,38.08
INL00000076,INV0000052,PROD_INT monthly service,recurring,90.0
INL00000077,INV0000053,PROD_INT monthly service,recurring,90.0
INL00000078,INV0000053,PROD_MOB monthly service,recurring,47.0
INL00000079,INV0000053,One-time activation fee,one-time,35.0
INL00000080,INV0000053,Partial month proration,one-time,23.04
INL00000081,INV0000053,Data usage overage,usage,22.78
INL00000082,INV0000054,PROD_INT monthly service,recurring,90.0
INL00000083,INV0000054,PROD_MOB monthly service,recurring,47.0
INL00000084,INV0000055,PROD_INT monthly service,recurring,90.0
INL00000085,INV0000055,PROD_MOB monthly service,recurring,47.0
INL00000086,INV0000055,Data usage overage,usage,23.76
INL00000087,INV0000056,PROD_INT monthly service,recurring,90.0
INL00000088,INV0000056,PROD_MOB monthly service,recurring,47.0
INL00000089,INV0000057,PROD_INT monthly service,recurring,90.0
INL00000090,INV0000057,PROD_MOB monthly service,recurring,47.0
INL00000091,INV0000058,PROD_INT monthly service,recurring,90.0
INL00000092,INV0000058,PROD_MOB monthly service,recurring,47.0
INL00000093,INV0000058,Goodwill/service credit,credit,-9.82
INL00000094,INV0000059,PROD_INT monthly service,recurring,90.0
INL00000095,INV0000059,PROD_MOB monthly service,recurring,47.0
INL00000096,INV0000059,PROD_TV monthly service,recurring,45.0
INL00000097,INV0000060,PROD_INT monthly service,recurring,90.0
INL00000098,INV0000060,PROD_MOB monthly service,recurring,47.0
INL00000099,INV0000060,PROD_TV monthly service,recurring,45.0
INL00000100,INV0000061,PROD_INT monthly service,recurring,90.0
INL00000101,INV0000061,PROD_MOB monthly service,recurring,47.0
INL00000102,INV0000061,PROD_TV monthly service,recurring,45.0
INL00000103,INV0000062,PROD_INT monthly service,recurring,90.0
INL00000104,INV0000062,PROD_MOB monthly service,recurring,47.0
INL00000105,INV0000062,PROD_TV monthly service,recurring,45.0
INL00000106,INV0000063,PROD_INT monthly service,recurring,90.0
INL00000107,INV0000063,PROD_MOB monthly service,recurring,47.0
INL00000108,INV0000063,PROD_TV monthly service,recurring,45.0
INL00000109,INV0000064,PROD_INT monthly service,recurring,90.0
INL00000110,INV0000064,PROD_MOB monthly service,recurring,47.0
INL00000111,INV0000064,PROD_TV monthly service,recurring,45.0
INL00000112,INV0000065,PROD_INT monthly service,recurring,70.0
INL00000113,INV0000065,One-time activation fee,one-time,35.0
INL00000114,INV0000065,Partial month proration,one-time,40.72
INL00000115,INV0000066,PROD_INT monthly service,recurring,70.0
INL00000116,INV0000067,PROD_INT monthly service,recurring,70.0
INL00000117,INV0000068,PROD_INT monthly service,recurring,70.0
INL00000118,INV0000069,PROD_INT monthly service,recurring,70.0
INL00000119,INV0000069,Goodwill/service credit,credit,-23.02
INL00000120,INV0000070,PROD_INT monthly service,recurring,70.0
INL00000121,INV0000071,PROD_INT monthly service,recurring,70.0
INL00000122,INV0000072,PROD_INT monthly service,recurring,70.0
INL00000123,INV0000072,Goodwill/service credit,credit,-13.83
INL00000124,INV0000073,PROD_INT monthly service,recurring,50.0
INL00000125,INV0000073,One-time activation fee,one-time,35.0
INL00000126,INV0000073,Partial month proration,one-time,11.97
INL00000127,INV0000074,PROD_INT monthly service,recurring,50.0
INL00000128,INV0000075,PROD_INT monthly service,recurring,50.0
INL00000129,INV0000076,PROD_INT monthly service,recurring,50.0
INL00000130,INV0000077,PROD_INT monthly service,recurring,50.0
INL00000131,INV0000078,PROD_INT monthly service,recurring,50.0
INL00000132,INV0000078,PROD_MOB monthly service,recurring,77.0
INL00000133,INV0000079,PROD_INT monthly service,recurring,50.0
INL00000134,INV0000079,PROD_MOB monthly service,recurring,77.0
INL00000135,INV0000080,PROD_INT monthly service,recurring,50.0
INL00000136,INV0000080,PROD_MOB monthly service,recurring,77.0
INL00000137,INV0000081,PROD_INT monthly service,recurring,50.0
INL00000138,INV0000081,PROD_MOB monthly service,recurring,77.0
INL00000139,INV0000082,PROD_INT monthly service,recurring,50.0
INL00000140,INV0000082,PROD_MOB monthly service,recurring,77.0
INL00000141,INV0000083,PROD_INT monthly service,recurring,50.0
INL00000142,INV0000083,PROD_MOB monthly service,recurring,77.0
INL00000143,INV0000084,PROD_INT monthly service,recurring,50.0
INL00000144,INV0000084,PROD_MOB monthly service,recurring,77.0
INL00000145,INV0000084,Data usage overage,usage,39.24
INL00000146,INV0000085,PROD_INT monthly service,recurring,75.0
INL00000147,INV0000085,One-time activation fee,one-time,35.0
INL00000148,INV0000085,Partial month proration,one-time,41.29
INL00000149,INV0000086,PROD_INT monthly service,recurring,90.0
INL00000150,INV0000086,One-time activation fee,one-time,35.0
INL00000151,INV0000086,Partial month proration,one-time,30.39
INL00000152,INV0000087,PROD_INT monthly service,recurring,90.0
INL00000153,INV0000087,PROD_TV monthly service,recurring,45.0
INL00000154,INV0000087,Data usage overage,usage,33.75
INL00000155,INV0000088,PROD_INT monthly service,recurring,90.0
INL00000156,INV0000088,PROD_TV monthly service,recurring,45.0
INL00000157,INV0000089,PROD_INT monthly service,recurring,90.0
INL00000158,INV0000089,PROD_TV monthly service,recurring,45.0
INL00000159,INV0000090,PROD_INT monthly service,recurring,90.0
INL00000160,INV0000090,PROD_TV monthly service,recurring,45.0
INL00000161,INV0000091,PROD_INT monthly service,recurring,90.0
INL00000162,INV0000091,PROD_TV monthly service,recurring,45.0
INL00000163,INV0000092,PROD_INT monthly service,recurring,90.0
INL00000164,INV0000092,PROD_TV monthly service,recurring,45.0
INL00000165,INV0000093,PROD_INT monthly service,recurring,90.0
INL00000166,INV0000093,PROD_TV monthly service,recurring,45.0
INL00000167,INV0000094,PROD_INT monthly service,recurring,90.0
INL00000168,INV0000094,PROD_TV monthly service,recurring,45.0
INL00000169,INV0000094,Data usage overage,usage,29.51
INL00000170,INV0000095,PROD_INT monthly service,recurring,90.0
INL00000171,INV0000095,PROD_TV monthly service,recurring,45.0
INL00000172,INV0000096,PROD_INT monthly service,recurring,90.0
INL00000173,INV0000096,PROD_MOB monthly service,recurring,55.0
INL00000174,INV0000096,PROD_TV monthly service,recurring,45.0
INL00000175,INV0000097,PROD_INT monthly service,recurring,90.0
INL00000176,INV0000097,PROD_MOB monthly service,recurring,55.0
INL00000177,INV0000097,PROD_TV monthly service,recurring,45.0
INL00000178,INV0000097,Goodwill/service credit,credit,-24.46
INL00000179,INV0000098,PROD_INT monthly service,recurring,90.0
INL00000180,INV0000098,One-time activation fee,one-time,35.0
INL00000181,INV0000098,Partial month proration,one-time,47.49
INL00000182,INV0000099,PROD_INT monthly service,recurring,90.0
INL00000183,INV0000100,PROD_INT monthly service,recurring,90.0
INL00000184,INV0000101,PROD_INT monthly service,recurring,90.0
INL00000185,INV0000102,PROD_INT monthly service,recurring,90.0
INL00000186,INV0000103,PROD_INT monthly service,recurring,90.0
INL00000187,INV0000104,PROD_INT monthly service,recurring,90.0
INL00000188,INV0000105,PROD_INT monthly service,recurring,90.0
INL00000189,INV0000106,PROD_INT monthly service,recurring,90.0
INL00000190,INV0000107,PROD_INT monthly service,recurring,90.0
INL00000191,INV0000107,Goodwill/service credit,credit,-20.72
INL00000192,INV0000108,PROD_INT monthly service,recurring,90.0
INL00000193,INV0000109,PROD_INT monthly service,recurring,90.0
INL00000194,INV0000110,PROD_INT monthly service,recurring,75.0
INL00000195,INV0000110,One-time activation fee,one-time,35.0
INL00000196,INV0000110,Partial month proration,one-time,30.24
INL00000197,INV0000111,PROD_INT monthly service,recurring,75.0
INL00000198,INV0000112,PROD_INT monthly service,recurring,75.0
INL00000199,INV0000113,PROD_INT monthly service,recurring,50.0
INL00000200,INV0000113,One-time activation fee,one-time,35.0
INL00000201,INV0000113,Partial month proration,one-time,16.16
INL00000202,INV0000113,Data usage overage,usage,16.19
INL00000203,INV0000114,PROD_INT monthly service,recurring,50.0
INL00000204,INV0000115,PROD_INT monthly service,recurring,50.0
INL00000205,INV0000116,PROD_INT monthly service,recurring,50.0
INL00000206,INV0000117,PROD_INT monthly service,recurring,50.0
INL00000207,INV0000117,Data usage overage,usage,35.57
INL00000208,INV0000117,Goodwill/service credit,credit,-12.49
INL00000209,INV0000118,PROD_INT monthly service,recurring,50.0
INL00000210,INV0000119,PROD_INT monthly service,recurring,50.0
INL00000211,INV0000119,PROD_MOB monthly service,recurring,77.0
INL00000212,INV0000120,PROD_INT monthly service,recurring,50.0
INL00000213,INV0000120,PROD_MOB monthly service,recurring,77.0
INL00000214,INV0000120,Data usage overage,usage,31.66
INL00000215,INV0000121,PROD_INT monthly service,recurring,50.0
INL00000216,INV0000121,PROD_MOB monthly service,recurring,77.0
INL00000217,INV0000122,PROD_INT monthly service,recurring,50.0
INL00000218,INV0000122,PROD_MOB monthly service,recurring,77.0
INL00000219,INV0000123,PROD_INT monthly service,recurring,50.0
INL00000220,INV0000123,PROD_MOB monthly service,recurring,77.0
INL00000221,INV0000124,PROD_INT monthly service,recurring,50.0
INL00000222,INV0000124,PROD_MOB monthly service,recurring,77.0
INL00000223,INV0000125,PROD_INT monthly service,recurring,75.0
INL00000224,INV0000125,One-time activation fee,one-time,35.0
INL00000225,INV0000125,Partial month proration,one-time,26.7
INL00000226,INV0000126,PROD_INT monthly service,recurring,75.0
INL00000227,INV0000127,PROD_INT monthly service,recurring,75.0
INL00000228,INV0000128,PROD_INT monthly service,recurring,75.0
INL00000229,INV0000129,PROD_INT monthly service,recurring,75.0
INL00000230,INV0000130,PROD_INT monthly service,recurring,75.0
INL00000231,INV0000131,PROD_INT monthly service,recurring,75.0
INL00000232,INV0000132,PROD_INT monthly service,recurring,75.0
INL00000233,INV0000133,PROD_INT monthly service,recurring,75.0
INL00000234,INV0000134,PROD_INT monthly service,recurring,75.0
INL00000235,INV0000135,PROD_INT monthly service,recurring,75.0
INL00000236,INV0000135,Data usage overage,usage,23.5
INL00000237,INV0000136,PROD_INT monthly service,recurring,75.0
INL00000238,INV0000136,PROD_MOB monthly service,recurring,62.0
INL00000239,INV0000137,PROD_INT monthly service,recurring,90.0
INL00000240,INV0000137,PROD_VOICE monthly service,recurring,25.0
INL00000241,INV0000137,One-time activation fee,one-time,35.0
INL00000242,INV0000137,Partial month proration,one-time,47.73
INL00000243,INV0000138,PROD_INT monthly service,recurring,90.0
INL00000244,INV0000138,PROD_VOICE monthly service,recurring,25.0
INL00000245,INV0000139,PROD_INT monthly service,recurring,90.0
INL00000246,INV0000139,PROD_VOICE monthly service,recurring,25.0
INL00000247,INV0000139,Data usage overage,usage,23.89
INL00000248,INV0000140,PROD_INT monthly service,recurring,90.0
INL00000249,INV0000140,PROD_VOICE monthly service,recurring,25.0
INL00000250,INV0000141,PROD_INT monthly service,recurring,90.0
INL00000251,INV0000141,PROD_VOICE monthly service,recurring,25.0
INL00000252,INV0000142,PROD_INT monthly service,recurring,90.0
INL00000253,INV0000142,PROD_VOICE monthly service,recurring,25.0
INL00000254,INV0000143,PROD_INT monthly service,recurring,90.0
INL00000255,INV0000143,PROD_VOICE monthly service,recurring,25.0
INL00000256,INV0000144,PROD_INT monthly service,recurring,90.0
INL00000257,INV0000144,PROD_VOICE monthly service,recurring,25.0
INL00000258,INV0000144,Data usage overage,usage,37.45
INL00000259,INV0000145,PROD_INT monthly service,recurring,55.0
INL00000260,INV0000145,One-time activation fee,one-time,35.0
INL00000261,INV0000145,Partial month proration,one-time,20.69
INL00000262,INV0000146,PROD_INT monthly service,recurring,55.0
INL00000263,INV0000147,PROD_INT monthly service,recurring,55.0
INL00000264,INV0000148,PROD_INT monthly service,recurring,55.0
INL00000265,INV0000149,PROD_INT monthly service,recurring,55.0
INL00000266,INV0000150,PROD_INT monthly service,recurring,55.0
INL00000267,INV0000151,PROD_INT monthly service,recurring,55.0
INL00000268,INV0000151,PROD_TV monthly service,recurring,45.0
INL00000269,INV0000152,PROD_INT monthly service,recurring,55.0
INL00000270,INV0000152,PROD_TV monthly service,recurring,45.0
INL00000271,INV0000153,PROD_INT monthly service,recurring,55.0
INL00000272,INV0000153,PROD_TV monthly service,recurring,45.0
INL00000273,INV0000154,PROD_INT monthly service,recurring,55.0
INL00000274,INV0000154,PROD_TV monthly service,recurring,45.0
INL00000275,INV0000154,Goodwill/service credit,credit,-20.72
INL00000276,INV0000155,PROD_INT monthly service,recurring,55.0
INL00000277,INV0000155,PROD_TV monthly service,recurring,45.0
INL00000278,INV0000156,PROD_INT monthly service,recurring,55.0
INL00000279,INV0000156,PROD_TV monthly service,recurring,45.0
INL00000280,INV0000157,PROD_INT monthly service,recurring,70.0
INL00000281,INV0000157,One-time activation fee,one-time,35.0
INL00000282,INV0000157,Partial month proration,one-time,41.77
INL00000283,INV0000158,PROD_INT monthly service,recurring,70.0
INL00000284,INV0000159,PROD_INT monthly service,recurring,70.0
INL00000285,INV0000160,PROD_INT monthly service,recurring,70.0
INL00000286,INV0000161,PROD_INT monthly service,recurring,70.0
INL00000287,INV0000162,PROD_INT monthly service,recurring,70.0
INL00000288,INV0000163,PROD_INT monthly service,recurring,70.0
INL00000289,INV0000164,PROD_INT monthly service,recurring,70.0
INL00000290,INV0000164,Data usage overage,usage,38.84
INL00000291,INV0000165,PROD_INT monthly service,recurring,70.0
INL00000292,INV0000166,PROD_INT monthly service,recurring,70.0
INL00000293,INV0000167,PROD_INT monthly service,recurring,70.0
INL00000294,INV0000168,PROD_INT monthly service,recurring,70.0
INL00000295,INV0000169,PROD_INT monthly service,recurring,90.0
INL00000296,INV0000169,One-time activation fee,one-time,35.0
INL00000297,INV0000169,Partial month proration,one-time,25.3
INL00000298,INV0000170,PROD_INT monthly service,recurring,90.0
INL00000299,INV0000171,PROD_INT monthly service,recurring,90.0
INL00000300,INV0000171,Data usage overage,usage,20.3
INL00000301,INV0000172,PROD_INT monthly service,recurring,90.0
INL00000302,INV0000173,PROD_INT monthly service,recurring,90.0
INL00000303,INV0000174,PROD_INT monthly service,recurring,90.0
INL00000304,INV0000175,PROD_INT monthly service,recurring,90.0
INL00000305,INV0000176,PROD_INT monthly service,recurring,90.0
INL00000306,INV0000177,PROD_INT monthly service,recurring,90.0
INL00000307,INV0000177,Goodwill/service credit,credit,-25.23
INL00000308,INV0000178,PROD_INT monthly service,recurring,90.0
INL00000309,INV0000179,PROD_INT monthly service,recurring,90.0
INL00000310,INV0000180,PROD_INT monthly service,recurring,90.0
INL00000311,INV0000181,PROD_INT monthly service,recurring,70.0
INL00000312,INV0000181,One-time activation fee,one-time,35.0
INL00000313,INV0000181,Partial month proration,one-time,13.78
INL00000314,INV0000182,PROD_INT monthly service,recurring,70.0
INL00000315,INV0000183,PROD_INT monthly service,recurring,70.0
INL00000316,INV0000183,Goodwill/service credit,credit,-11.92
INL00000317,INV0000184,PROD_INT monthly service,recurring,70.0
INL00000318,INV0000184,Goodwill/service credit,credit,-10.2
INL00000319,INV0000185,PROD_INT monthly service,recurring,70.0
INL00000320,INV0000186,PROD_INT monthly service,recurring,70.0
INL00000321,INV0000186,Data usage overage,usage,27.33
INL00000322,INV0000187,PROD_INT monthly service,recurring,70.0
INL00000323,INV0000188,PROD_INT monthly service,recurring,70.0
INL00000324,INV0000189,PROD_INT monthly service,recurring,70.0
INL00000325,INV0000190,PROD_INT monthly service,recurring,70.0
INL00000326,INV0000191,PROD_INT monthly service,recurring,70.0
INL00000327,INV0000191,Data usage overage,usage,9.14
INL00000328,INV0000192,PROD_INT monthly service,recurring,70.0
INL00000329,INV0000192,Goodwill/service credit,credit,-6.67
INL00000330,INV0000193,PROD_INT monthly service,recurring,50.0
INL00000331,INV0000193,One-time activation fee,one-time,35.0
INL00000332,INV0000193,Partial month proration,one-time,31.92
INL00000333,INV0000194,PROD_INT monthly service,recurring,50.0
INL00000334,INV0000195,PROD_INT monthly service,recurring,50.0
INL00000335,INV0000196,PROD_INT monthly service,recurring,50.0
INL00000336,INV0000197,PROD_INT monthly service,recurring,50.0
INL00000337,INV0000198,PROD_INT monthly service,recurring,50.0
INL00000338,INV0000199,PROD_INT monthly service,recurring,50.0
INL00000339,INV0000200,PROD_INT monthly service,recurring,50.0
INL00000340,INV0000200,Data usage overage,usage,24.02
INL00000341,INV0000201,PROD_INT monthly service,recurring,50.0
INL00000342,INV0000202,PROD_INT monthly service,recurring,50.0
INL00000343,INV0000203,PROD_INT monthly service,recurring,50.0
INL00000344,INV0000204,PROD_INT monthly service,recurring,50.0
INL00000345,INV0000204,Data usage overage,usage,23.73
INL00000346,INV0000205,PROD_INT monthly service,recurring,70.0
INL00000347,INV0000205,One-time activation fee,one-time,35.0
INL00000348,INV0000205,Partial month proration,one-time,39.76
INL00000349,INV0000206,PROD_INT monthly service,recurring,70.0
INL00000350,INV0000206,Data usage overage,usage,11.5
INL00000351,INV0000206,Goodwill/service credit,credit,-15.96
INL00000352,INV0000207,PROD_INT monthly service,recurring,70.0
INL00000353,INV0000208,PROD_INT monthly service,recurring,95.0
INL00000354,INV0000208,One-time activation fee,one-time,35.0
INL00000355,INV0000208,Partial month proration,one-time,13.29
INL00000356,INV0000209,PROD_INT monthly service,recurring,95.0
INL00000357,INV0000210,PROD_INT monthly service,recurring,95.0
INL00000358,INV0000210,PROD_VOICE monthly service,recurring,25.0
INL00000359,INV0000211,PROD_INT monthly service,recurring,95.0
INL00000360,INV0000211,PROD_VOICE monthly service,recurring,25.0
INL00000361,INV0000212,PROD_INT monthly service,recurring,95.0
INL00000362,INV0000212,PROD_VOICE monthly service,recurring,25.0
INL00000363,INV0000213,PROD_INT monthly service,recurring,95.0
INL00000364,INV0000213,PROD_VOICE monthly service,recurring,25.0
INL00000365,INV0000214,PROD_INT monthly service,recurring,95.0
INL00000366,INV0000214,PROD_VOICE monthly service,recurring,25.0
INL00000367,INV0000215,PROD_INT monthly service,recurring,95.0
INL00000368,INV0000215,PROD_VOICE monthly service,recurring,25.0
INL00000369,INV0000216,PROD_INT monthly service,recurring,95.0
INL00000370,INV0000216,PROD_VOICE monthly service,recurring,25.0
INL00000371,INV0000217,PROD_INT monthly service,recurring,95.0
INL00000372,INV0000217,PROD_VOICE monthly service,recurring,25.0
INL00000373,INV0000218,PROD_INT monthly service,recurring,95.0
INL00000374,INV0000218,PROD_VOICE monthly service,recurring,25.0
INL00000375,INV0000219,PROD_INT monthly service,recurring,95.0
INL00000376,INV0000219,PROD_VOICE monthly service,recurring,25.0
INL00000377,INV0000220,PROD_INT monthly service,recurring,90.0
INL00000378,INV0000220,PROD_MOB monthly service,recurring,77.0
INL00000379,INV0000220,One-time activation fee,one-time,35.0
INL00000380,INV0000220,Partial month proration,one-time,44.31
INL00000381,INV0000221,PROD_INT monthly service,recurring,90.0
INL00000382,INV0000221,PROD_MOB monthly service,recurring,77.0
INL00000383,INV0000222,PROD_INT monthly service,recurring,90.0
INL00000384,INV0000222,PROD_MOB monthly service,recurring,77.0
INL00000385,INV0000223,PROD_INT monthly service,recurring,90.0
INL00000386,INV0000223,PROD_MOB monthly service,recurring,77.0
INL00000387,INV0000224,PROD_INT monthly service,recurring,90.0
INL00000388,INV0000224,PROD_MOB monthly service,recurring,77.0
INL00000389,INV0000225,PROD_INT monthly service,recurring,90.0
INL00000390,INV0000225,PROD_MOB monthly service,recurring,77.0
INL00000391,INV0000226,PROD_INT monthly service,recurring,90.0
INL00000392,INV0000226,PROD_MOB monthly service,recurring,77.0
INL00000393,INV0000227,PROD_INT monthly service,recurring,90.0
INL00000394,INV0000227,PROD_MOB monthly service,recurring,77.0
INL00000395,INV0000228,PROD_INT monthly service,recurring,90.0
INL00000396,INV0000228,PROD_MOB monthly service,recurring,77.0
INL00000397,INV0000228,Goodwill/service credit,credit,-11.94
INL00000398,INV0000229,PROD_INT monthly service,recurring,90.0
INL00000399,INV0000229,PROD_MOB monthly service,recurring,77.0
INL00000400,INV0000230,PROD_INT monthly service,recurring,90.0
INL00000401,INV0000230,PROD_MOB monthly service,recurring,77.0
INL00000402,INV0000231,PROD_INT monthly service,recurring,90.0
INL00000403,INV0000231,PROD_MOB monthly service,recurring,77.0
INL00000404,INV0000232,PROD_INT monthly service,recurring,90.0
INL00000405,INV0000232,One-time activation fee,one-time,35.0
INL00000406,INV0000232,Partial month proration,one-time,23.8
INL00000407,INV0000233,PROD_INT monthly service,recurring,90.0
INL00000408,INV0000233,Goodwill/service credit,credit,-9.55
INL00000409,INV0000234,PROD_INT monthly service,recurring,90.0
INL00000410,INV0000235,PROD_INT monthly service,recurring,90.0
INL00000411,INV0000236,PROD_INT monthly service,recurring,90.0
INL00000412,INV0000237,PROD_INT monthly service,recurring,90.0
INL00000413,INV0000238,PROD_INT monthly service,recurring,90.0
INL00000414,INV0000238,PROD_MOB monthly service,recurring,67.0
INL00000415,INV0000238,One-time activation fee,one-time,35.0
INL00000416,INV0000238,Partial month proration,one-time,65.66
INL00000417,INV0000239,PROD_INT monthly service,recurring,55.0
INL00000418,INV0000239,One-time activation fee,one-time,35.0
INL00000419,INV0000239,Partial month proration,one-time,28.39
INL00000420,INV0000239,Goodwill/service credit,credit,-13.52
INL00000421,INV0000240,PROD_INT monthly service,recurring,55.0
INL00000422,INV0000241,PROD_INT monthly service,recurring,55.0
INL00000423,INV0000242,PROD_INT monthly service,recurring,55.0
INL00000424,INV0000243,PROD_INT monthly service,recurring,55.0
INL00000425,INV0000244,PROD_INT monthly service,recurring,55.0
INL00000426,INV0000244,Data usage overage,usage,38.89
INL00000427,INV0000245,PROD_INT monthly service,recurring,55.0
INL00000428,INV0000246,PROD_INT monthly service,recurring,55.0
INL00000429,INV0000247,PROD_INT monthly service,recurring,55.0
INL00000430,INV0000248,PROD_INT monthly service,recurring,55.0
INL00000431,INV0000248,Data usage overage,usage,20.63
INL00000432,INV0000249,PROD_INT monthly service,recurring,55.0
INL00000433,INV0000250,PROD_INT monthly service,recurring,55.0
INL00000434,INV0000251,PROD_INT monthly service,recurring,90.0
INL00000435,INV0000251,One-time activation fee,one-time,35.0
INL00000436,INV0000251,Partial month proration,one-time,17.74
INL00000437,INV0000252,PROD_INT monthly service,recurring,90.0
INL00000438,INV0000253,PROD_INT monthly service,recurring,90.0
INL00000439,INV0000253,Data usage overage,usage,12.85
INL00000440,INV0000254,PROD_INT monthly service,recurring,90.0
INL00000441,INV0000255,PROD_INT monthly service,recurring,90.0
INL00000442,INV0000255,Data usage overage,usage,34.34
INL00000443,INV0000256,PROD_INT monthly service,recurring,90.0
INL00000444,INV0000257,PROD_INT monthly service,recurring,90.0
INL00000445,INV0000257,Data usage overage,usage,5.46
INL00000446,INV0000258,PROD_INT monthly service,recurring,90.0
INL00000447,INV0000259,PROD_INT monthly service,recurring,90.0
INL00000448,INV0000259,Data usage overage,usage,10.56
INL00000449,INV0000260,PROD_INT monthly service,recurring,90.0
INL00000450,INV0000261,PROD_INT monthly service,recurring,90.0
INL00000451,INV0000262,PROD_INT monthly service,recurring,90.0
INL00000452,INV0000263,PROD_INT monthly service,recurring,50.0
INL00000453,INV0000263,One-time activation fee,one-time,35.0
INL00000454,INV0000263,Partial month proration,one-time,28.39
INL00000455,INV0000264,PROD_INT monthly service,recurring,50.0
INL00000456,INV0000265,PROD_INT monthly service,recurring,50.0
INL00000457,INV0000265,Goodwill/service credit,credit,-22.96
INL00000458,INV0000266,PROD_INT monthly service,recurring,50.0
INL00000459,INV0000266,Data usage overage,usage,16.84
INL00000460,INV0000267,PROD_INT monthly service,recurring,50.0
