device_id,account_id,customer_id,model,model_name,device_type,serial_number,install_date,status,firmware_version
DVC000015,ACCT000015,CUST000015,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC68E051D8B,2025-03-09,active,4.0.1
DVC000016,ACCT000016,CUST000016,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNEAD552A036,2024-10-17,inactive,4.0.1
DVC000017,ACCT000017,CUST000017,DEV_MODEM_STD,TelcoConnect Modem,modem,SN9B44EF66C8,2025-11-01,active,4.0.1
DVC000018,ACCT000018,CUST000018,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN04CB40FF30,2024-02-02,active,4.1.0
DVC000019,ACCT000019,CUST000019,DEV_MODEM_STD,TelcoConnect Modem,modem,SNA27319824D,2024-04-25,active,4.1.0
DVC000020,ACCT000020,CUST000020,DEV_MODEM_STD,TelcoConnect Modem,modem,SNA31ED4E9E7,2025-01-12,active,4.0.1
DVC000021,ACCT000021,CUST000021,DEV_MODEM_STD,TelcoConnect Modem,modem,SN7106D0698D,2024-08-09,active,3.5.0
DVC000022,ACCT000022,CUST000022,DEV_MODEM_STD,TelcoConnect Modem,modem,SN22F801A83C,2025-01-22,active,3.4.1
DVC000023,ACCT000023,CUST000023,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB26E2A7D37,2026-03-01,active,4.1.0
DVC000024,ACCT000024,CUST000024,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN8684D939CB,2023-10-12,active,3.4.2
DVC000025,ACCT000025,CUST000025,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2DA15D5E2C,2024-02-24,active,3.4.2
DVC000026,ACCT000026,CUST000026,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4A19E35532,2025-12-21,active,4.1.0
DVC000027,ACCT000027,CUST000027,DEV_MODEM_STD,TelcoConnect Modem,modem,SNF162B47653,2026-06-14,active,4.1.0
DVC000028,ACCT000028,CUST000028,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN312AA347C2,2023-12-03,active,3.5.0
DVC000029,ACCT000029,CUST000029,DEV_MODEM_STD,TelcoConnect Modem,modem,SN1E752B5DAE,2023-12-06,active,4.1.0
DVC000030,ACCT000030,CUST000030,DEV_MODEM_STD,TelcoConnect Modem,modem,SN8C3C119998,2023-02-18,active,3.5.0
DVC000031,ACCT000031,CUST000031,DEV_MODEM_STD,TelcoConnect Modem,modem,SNEB95AF1989,2026-06-15,active,3.4.1
DVC000032,ACCT000032,CUST000032,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN30B88004F6,2026-06-18,active,4.0.1
DVC000033,ACCT000033,CUST000033,DEV_MODEM_STD,TelcoConnect Modem,modem,SN7B73B091B8,2023-03-03,inactive,4.0.1
DVC000034,ACCT000034,CUST000034,DEV_MODEM_STD,TelcoConnect Modem,modem,SN44D1992936,2026-06-15,active,3.4.2
DVC000035,ACCT000035,CUST000035,DEV_MODEM_STD,TelcoConnect Modem,modem,SN580BEC8598,2024-02-11,active,3.4.1
DVC000036,ACCT000036,CUST000036,DEV_MODEM_STD,TelcoConnect Modem,modem,SNE1D0BC0EB8,2022-10-09,active,4.1.0
DVC000037,ACCT000037,CUST000037,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2A9CD4AD09,2025-07-15,active,4.1.0
DVC000038,ACCT000038,CUST000038,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4986F7D888,2026-05-31,active,4.1.0
DVC000039,ACCT000039,CUST000039,DEV_MODEM_STD,TelcoConnect Modem,modem,SN82B24990C2,2025-08-09,active,4.0.1
DVC000040,ACCT000040,CUST000040,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN99E88490DB,2022-06-12,active,4.0.1
DVC000041,ACCT000041,CUST000041,DEV_MODEM_STD,TelcoConnect Modem,modem,SND66089E0F6,2025-09-15,inactive,4.0.1
DVC000042,ACCT000042,CUST000042,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN2F00A1161B,2022-08-02,active,4.0.1
DVC000043,ACCT000043,CUST000043,DEV_MODEM_STD,TelcoConnect Modem,modem,SN1FC9DDB210,2025-08-25,active,3.4.2
DVC000044,ACCT000044,CUST000044,DEV_MODEM_STD,TelcoConnect Modem,modem,SNA66A64CB6F,2024-12-04,active,3.4.1
DVC000045,ACCT000045,CUST000045,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN3094EC73A2,2024-07-29,active,3.4.2
DVC000046,ACCT000046,CUST000046,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN1D0CBDC54B,2025-10-08,inactive,4.0.1
DVC000047,ACCT000047,CUST000047,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN3B0CC118C0,2024-11-29,active,3.4.2
DVC000048,ACCT000048,CUST000048,DEV_MODEM_STD,TelcoConnect Modem,modem,SN907A052ED6,2026-02-06,active,4.1.0
DVC000049,ACCT000049,CUST000049,DEV_MODEM_STD,TelcoConnect Modem,modem,SN53BB6038D1,2026-06-11,active,3.4.1
DVC000050,ACCT000050,CUST000050,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFE34EA7E91,2024-09-19,active,3.5.0
DVC000051,ACCT000051,CUST000051,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2884D3A3EC,2026-05-21,active,4.0.1
DVC000052,ACCT000052,CUST000052,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN4E14F90B08,2025-08-29,active,3.4.2
DVC000053,ACCT000053,CUST000053,DEV_MODEM_STD,TelcoConnect Modem,modem,SNBEFB595495,2026-06-20,active,3.5.0
DVC000054,ACCT000054,CUST000054,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA5010ADBA3,2025-10-28,active,3.4.2
DVC000055,ACCT000055,CUST000055,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN6C7B33EE03,2026-06-30,active,4.0.1
DVC000056,ACCT000056,CUST000056,DEV_MODEM_STD,TelcoConnect Modem,modem,SN6391280975,2023-09-10,active,4.1.0
DVC000057,ACCT000057,CUST000057,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNADC2E13A14,2024-03-02,active,3.4.2
DVC000058,ACCT000058,CUST000058,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN2D256638F7,2023-02-24,active,4.1.0
DVC000059,ACCT000059,CUST000059,DEV_MODEM_STD,TelcoConnect Modem,modem,SN1FB7276915,2026-03-07,active,3.5.0
DVC000060,ACCT000060,CUST000060,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SND1FB66A8F8,2022-09-03,active,4.0.1
DVC000061,ACCT000061,CUST000061,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN3B633701FC,2025-09-30,active,4.1.0
DVC000062,ACCT000062,CUST000062,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2ADFF1CCB8,2024-06-01,inactive,3.5.0
DVC000063,ACCT000063,CUST000063,DEV_MODEM_STD,TelcoConnect Modem,modem,SNF9F1C834B8,2020-06-19,active,4.1.0
DVC000064,ACCT000064,CUST000064,DEV_MODEM_STD,TelcoConnect Modem,modem,SN0FC7345CA5,2025-01-29,active,3.4.2
DVC000065,ACCT000065,CUST000065,DEV_MODEM_STD,TelcoConnect Modem,modem,SN31303FEAA1,2024-07-17,active,4.1.0
DVC000066,ACCT000066,CUST000066,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNE8B9476B00,2025-09-27,active,3.5.0
DVC000067,ACCT000067,CUST000067,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA60B0ADF82,2020-08-05,active,4.0.1
DVC000068,ACCT000068,CUST000068,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC383B0DD66,2025-08-15,active,4.0.1
DVC000069,ACCT000069,CUST000069,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNCCF63B90E3,2023-06-30,active,3.4.1
DVC000070,ACCT000070,CUST000070,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNE15AFA1CAD,2022-02-03,inactive,4.1.0
DVC000071,ACCT000071,CUST000071,DEV_MODEM_STD,TelcoConnect Modem,modem,SN537987BAFC,2026-06-11,active,4.1.0
DVC000072,ACCT000072,CUST000072,DEV_MODEM_STD,TelcoConnect Modem,modem,SNDACE5CC986,2024-01-20,active,4.0.1
DVC000073,ACCT000073,CUST000073,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN5356856D3E,2024-07-14,active,3.4.2
DVC000074,ACCT000074,CUST000074,DEV_MODEM_STD,TelcoConnect Modem,modem,SNDC5E9C76B2,2025-11-22,active,3.4.2
DVC000075,ACCT000075,CUST000075,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SND3F9473336,2020-10-01,active,3.4.2
DVC000076,ACCT000076,CUST000076,DEV_MODEM_STD,TelcoConnect Modem,modem,SN7E9C1831B2,2024-02-19,active,3.5.0
DVC000077,ACCT000077,CUST000077,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4F794326B6,2024-08-11,active,3.5.0
DVC000078,ACCT000078,CUST000078,DEV_MODEM_STD,TelcoConnect Modem,modem,SN942E58F5F6,2026-05-24,active,3.4.2
DVC000079,ACCT000079,CUST000079,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN07E2508231,2024-07-11,active,3.4.2
DVC000080,ACCT000080,CUST000080,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFB2E7DADBE,2024-09-09,active,4.0.1
DVC000081,ACCT000081,CUST000081,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA77AE48A74,2020-07-01,active,3.4.2
DVC000082,ACCT000082,CUST000082,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN491D3960F5,2024-08-14,active,3.5.0
DVC000083,ACCT000083,CUST000083,DEV_MODEM_STD,TelcoConnect Modem,modem,SN945C885D15,2024-07-04,active,4.1.0
DVC000084,ACCT000084,CUST000084,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4082C46CAC,2025-10-27,active,4.0.1
DVC000085,ACCT000085,CUST000085,DEV_MODEM_STD,TelcoConnect Modem,modem,SNE83A06E781,2025-06-29,active,3.5.0
DVC000086,ACCT000086,CUST000086,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN5E9FE0D0B9,2023-10-08,active,3.4.2
DVC000087,ACCT000087,CUST000087,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN94B607DD9D,2026-06-30,active,4.0.1
DVC000088,ACCT000088,CUST000088,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB68B2966F4,2022-09-16,active,3.5.0
DVC000089,ACCT000089,CUST000089,DEV_MODEM_STD,TelcoConnect Modem,modem,SNE33240588D,2022-08-24,active,3.4.2
DVC000090,ACCT000090,CUST000090,DEV_MODEM_STD,TelcoConnect Modem,modem,SN611376EA18,2025-08-01,inactive,3.5.0
DVC000091,ACCT000091,CUST000091,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNC3AEC74D73,2024-01-12,active,4.1.0
DVC000092,ACCT000092,CUST000092,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC2C081FA2D,2021-12-23,active,3.5.0
DVC000093,ACCT000093,CUST000093,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN61CE8661A6,2024-09-24,inactive,4.0.1
DVC000094,ACCT000094,CUST000094,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA96579FD78,2025-01-02,active,3.4.1
DVC000095,ACCT000095,CUST000095,DEV_MODEM_STD,TelcoConnect Modem,modem,SN1C5922EBD3,2024-12-05,active,3.4.1
DVC000096,ACCT000096,CUST000096,DEV_MODEM_STD,TelcoConnect Modem,modem,SN9FFE1ED08D,2024-02-29,active,3.4.2
DVC000097,ACCT000097,CUST000097,DEV_MODEM_STD,TelcoConnect Modem,modem,SN204E329560,2025-05-28,active,3.4.2
DVC000098,ACCT000098,CUST000098,DEV_MODEM_STD,TelcoConnect Modem,modem,SND41BF78AF1,2026-06-16,active,3.5.0
DVC000099,ACCT000099,CUST000099,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4D9E804A8C,2024-03-15,active,3.4.2
DVC000100,ACCT000100,CUST000100,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2E76CE8A28,2025-03-30,active,3.5.0
DVC000101,ACCT000101,CUST000101,DEV_MODEM_STD,TelcoConnect Modem,modem,SN9AE5D987DB,2025-11-11,active,3.5.0
DVC000102,ACCT000102,CUST000102,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN9080812982,2026-03-26,active,4.1.0
DVC000103,ACCT000103,CUST000103,DEV_MODEM_STD,TelcoConnect Modem,modem,SN5D89B860EB,2024-07-19,active,3.4.1
DVC000104,ACCT000104,CUST000104,DEV_MODEM_STD,TelcoConnect Modem,modem,SN8031E542B4,2026-06-14,active,3.5.0
DVC000105,ACCT000105,CUST000105,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC420A6442B,2023-12-14,active,4.0.1
DVC000106,ACCT000106,CUST000106,DEV_MODEM_STD,TelcoConnect Modem,modem,SN5731EC71D3,2025-10-18,active,4.1.0
DVC000107,ACCT000107,CUST000107,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN004F10ACB4,2025-07-08,active,3.4.1
DVC000108,ACCT000108,CUST000108,DEV_MODEM_STD,TelcoConnect Modem,modem,SN53C844687C,2025-02-01,active,3.4.2
DVC000109,ACCT000109,CUST000109,DEV_MODEM_STD,TelcoConnect Modem,modem,SN9DDC0A3349,2020-06-06,active,3.4.1
DVC000110,ACCT000110,CUST000110,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN8E7851B509,2020-02-08,active,3.4.1
DVC000111,ACCT000111,CUST000111,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA7C6C87415,2020-08-06,active,4.0.1
DVC000112,ACCT000112,CUST000112,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNE8F6EF8F90,2024-06-02,active,3.5.0
DVC000113,ACCT000113,CUST000113,DEV_MODEM_STD,TelcoConnect Modem,modem,SN6C0C5176D1,2014-12-17,active,3.4.1
DVC000114,ACCT000114,CUST000114,DEV_MODEM_STD,TelcoConnect Modem,modem,SNBC0575D0F8,2025-06-17,active,4.0.1
DVC000115,ACCT000115,CUST000115,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNC065A2874F,2025-01-28,active,4.0.1
DVC000116,ACCT000116,CUST000116,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNB595B51814,2022-12-07,active,4.1.0
DVC000117,ACCT000117,CUST000117,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4791328427,2024-02-15,active,4.1.0
DVC000118,ACCT000118,CUST000118,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4732C7E58F,2024-01-25,inactive,4.0.1
DVC000119,ACCT000119,CUST000119,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN22E5D9CC98,2025-10-09,active,4.0.1
DVC000120,ACCT000120,CUST000120,DEV_MODEM_STD,TelcoConnect Modem,modem,SN42CCCAA5EE,2024-08-31,active,3.4.2
DVC000121,ACCT000121,CUST000121,DEV_MODEM_STD,TelcoConnect Modem,modem,SN778287B27B,2025-06-08,active,3.5.0
DVC000122,ACCT000122,CUST000122,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN450C935461,2025-12-23,active,3.4.2
DVC000123,ACCT000123,CUST000123,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB43FD46E2E,2025-05-03,active,3.4.1
DVC000124,ACCT000124,CUST000124,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA82D12F2C6,2026-05-24,active,3.4.1
DVC000125,ACCT000125,CUST000125,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN56FA8B6586,2023-04-07,active,4.0.1
DVC000126,ACCT000126,CUST000126,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFDF4F1277F,2026-03-25,active,4.1.0
DVC000127,ACCT000127,CUST000127,DEV_MODEM_STD,TelcoConnect Modem,modem,SNDF762F888B,2024-08-07,active,3.5.0
DVC000128,ACCT000128,CUST000128,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA8A045832E,2024-10-14,inactive,4.0.1
DVC000129,ACCT000129,CUST000129,DEV_MODEM_STD,TelcoConnect Modem,modem,SNCF9577ACB2,2024-04-08,active,3.4.2
DVC000130,ACCT000130,CUST000130,DEV_MODEM_STD,TelcoConnect Modem,modem,SN34613A158D,2025-10-24,active,4.0.1
DVC000131,ACCT000131,CUST000131,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN842A11966D,2025-10-15,active,3.5.0
DVC000132,ACCT000132,CUST000132,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SND8CE8FAE75,2022-02-13,active,4.0.1
DVC000133,ACCT000133,CUST000133,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN1D6CF01E9B,2025-08-01,active,3.5.0
DVC000134,ACCT000134,CUST000134,DEV_MODEM_STD,TelcoConnect Modem,modem,SN09A4227712,2025-02-28,active,4.1.0
DVC000135,ACCT000135,CUST000135,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN79F93E96E5,2024-12-18,active,3.4.2
DVC000136,ACCT000136,CUST000136,DEV_MODEM_STD,TelcoConnect Modem,modem,SN79097C7F9D,2025-06-01,active,4.0.1
DVC000137,ACCT000137,CUST000137,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC93DB2B918,2023-10-12,active,3.4.2
DVC000138,ACCT000138,CUST000138,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN4E64EC050C,2023-12-02,active,3.4.1
DVC000139,ACCT000139,CUST000139,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2F4A6C5E67,2024-10-23,active,3.4.2
DVC000140,ACCT000140,CUST000140,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB4A427CFFB,2025-06-04,active,3.4.2
DVC000141,ACCT000141,CUST000141,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN4F8E6BD67F,2024-11-18,active,3.4.2
DVC000142,ACCT000142,CUST000142,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNBB330713E3,2024-06-25,active,3.4.1
DVC000143,ACCT000143,CUST000143,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4D2F8449DC,2025-07-10,active,3.4.1
DVC000144,ACCT000144,CUST000144,DEV_MODEM_STD,TelcoConnect Modem,modem,SNF36FBB5973,2023-09-09,active,4.0.1
DVC000145,ACCT000145,CUST000145,DEV_MODEM_STD,TelcoConnect Modem,modem,SN5C1B70F29C,2026-05-23,active,4.0.1
DVC000146,ACCT000146,CUST000146,DEV_MODEM_STD,TelcoConnect Modem,modem,SN29C83EB5B5,2021-07-22,active,4.0.1
DVC000147,ACCT000147,CUST000147,DEV_MODEM_STD,TelcoConnect Modem,modem,SN7F82CB20A6,2021-10-13,active,4.0.1
DVC000148,ACCT000148,CUST000148,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN69E8D37362,2024-12-26,active,3.4.2
DVC000149,ACCT000149,CUST000149,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNA68225D20A,2024-05-30,active,3.4.2
DVC000150,ACCT000150,CUST000150,DEV_MODEM_STD,TelcoConnect Modem,modem,SN68B6B61701,2024-10-18,active,4.1.0
DVC000151,ACCT000151,CUST000151,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN33CCFAA077,2026-06-29,active,4.0.1
DVC000152,ACCT000152,CUST000152,DEV_MODEM_STD,TelcoConnect Modem,modem,SN0C845AB3D1,2024-11-27,active,3.4.2
DVC000153,ACCT000153,CUST000153,DEV_MODEM_STD,TelcoConnect Modem,modem,SNA2AB63317A,2024-07-27,active,4.0.1
DVC000154,ACCT000154,CUST000154,DEV_MODEM_STD,TelcoConnect Modem,modem,SN5F86140492,2026-06-29,inactive,3.4.1
DVC000155,ACCT000155,CUST000155,DEV_MODEM_STD,TelcoConnect Modem,modem,SNB42BFDC989,2024-01-31,inactive,3.5.0
DVC000156,ACCT000156,CUST000156,DEV_MODEM_STD,TelcoConnect Modem,modem,SNE341AD8EAD,2025-11-03,active,3.4.2
DVC000157,ACCT000157,CUST000157,DEV_MODEM_STD,TelcoConnect Modem,modem,SN199828AB9C,2022-11-15,active,3.4.2
DVC000158,ACCT000158,CUST000158,DEV_MODEM_STD,TelcoConnect Modem,modem,SN9C97467EDC,2024-04-08,active,3.4.2
DVC000159,ACCT000159,CUST000159,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN90B5CA6E8D,2023-10-11,active,3.4.2
DVC000160,ACCT000160,CUST000160,DEV_MODEM_STD,TelcoConnect Modem,modem,SN920A7F7638,2026-05-28,active,3.4.2
DVC000161,ACCT000161,CUST000161,DEV_MODEM_STD,TelcoConnect Modem,modem,SNF5B5E07E22,2024-02-07,active,3.5.0
DVC000162,ACCT000162,CUST000162,DEV_MODEM_STD,TelcoConnect Modem,modem,SN34F32BEE9F,2024-01-08,active,3.4.2
DVC000163,ACCT000163,CUST000163,DEV_MODEM_STD,TelcoConnect Modem,modem,SND714F751F8,2026-03-16,active,3.4.1
DVC000164,ACCT000164,CUST000164,DEV_MODEM_STD,TelcoConnect Modem,modem,SN65AFA4B729,2026-05-27,active,4.0.1
DVC000165,ACCT000165,CUST000165,DEV_MODEM_STD,TelcoConnect Modem,modem,SN0BDC17CAB5,2025-07-13,active,4.0.1
DVC000166,ACCT000166,CUST000166,DEV_MODEM_STD,TelcoConnect Modem,modem,SNC199DEE9AC,2025-04-07,active,4.0.1
DVC000167,ACCT000167,CUST000167,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SND428810468,2026-06-03,active,4.0.1
DVC000168,ACCT000168,CUST000168,DEV_MODEM_STD,TelcoConnect Modem,modem,SN421EDA32A3,2026-06-02,active,3.4.2
DVC000169,ACCT000169,CUST000169,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN74CED7AE18,2025-09-09,active,3.4.1
DVC000170,ACCT000170,CUST000170,DEV_MODEM_STD,TelcoConnect Modem,modem,SN28723E6008,2024-08-25,inactive,3.4.2
DVC000171,ACCT000171,CUST000171,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN5701FC30BB,2024-12-15,active,3.4.1
DVC000172,ACCT000172,CUST000172,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN35D4461019,2022-10-28,active,4.1.0
DVC000173,ACCT000173,CUST000173,DEV_MODEM_STD,TelcoConnect Modem,modem,SNECDD86DF81,2025-01-11,active,3.4.1
DVC000174,ACCT000174,CUST000174,DEV_MODEM_STD,TelcoConnect Modem,modem,SN49F22217F4,2024-04-09,active,4.1.0
DVC000175,ACCT000175,CUST000175,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNF305000AF4,2025-09-22,active,3.4.2
DVC000176,ACCT000176,CUST000176,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN6D96285E9F,2026-06-03,active,4.1.0
DVC000177,ACCT000177,CUST000177,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN7BFE363EE4,2026-02-06,active,3.4.2
DVC000178,ACCT000178,CUST000178,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4390C14E99,2023-11-11,active,3.4.1
DVC000179,ACCT000179,CUST000179,DEV_MODEM_STD,TelcoConnect Modem,modem,SNBE341D3AA9,2024-03-28,active,3.4.1
DVC000180,ACCT000180,CUST000180,DEV_MODEM_STD,TelcoConnect Modem,modem,SN1CB7C673CA,2024-01-09,active,4.1.0
DVC000181,ACCT000181,CUST000181,DEV_MODEM_STD,TelcoConnect Modem,modem,SNE36071175B,2026-06-01,active,3.5.0
DVC000182,ACCT000182,CUST000182,DEV_MODEM_STD,TelcoConnect Modem,modem,SN2C70E89903,2025-01-04,active,4.0.1
DVC000183,ACCT000183,CUST000183,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4239B64187,2023-01-10,active,3.4.2
DVC000184,ACCT000184,CUST000184,DEV_MODEM_STD,TelcoConnect Modem,modem,SNEA0E82DF5E,2020-06-19,active,4.0.1
DVC000185,ACCT000185,CUST000185,DEV_MODEM_STD,TelcoConnect Modem,modem,SN4A887FD3F5,2024-09-29,active,4.0.1
DVC000186,ACCT000186,CUST000186,DEV_MODEM_STD,TelcoConnect Modem,modem,SNDED97FB661,2023-03-17,active,3.5.0
DVC000187,ACCT000187,CUST000187,DEV_MODEM_STD,TelcoConnect Modem,modem,SNCE40774C32,2024-05-24,active,3.5.0
DVC000188,ACCT000188,CUST000188,DEV_MODEM_STD,TelcoConnect Modem,modem,SN66FD6D1E9C,2024-09-02,active,3.5.0
DVC000189,ACCT000189,CUST000189,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SN83493ACD6C,2025-02-27,active,3.4.2
DVC000190,ACCT000190,CUST000190,DEV_MODEM_STD,TelcoConnect Modem,modem,SNFFA272B417,2024-07-26,active,3.4.2
DVC000191,ACCT000191,CUST000191,DEV_MODEM_STD,TelcoConnect Modem,modem,SN704D44CAA3,2023-06-20,active,3.4.1
DVC000192,ACCT000192,CUST000192,DEV_MODEM_STD,TelcoConnect Modem,modem,SNAE94F9B8DC,2023-03-27,active,3.4.2
DVC000193,ACCT000193,CUST000193,DEV_ROUTER_MESH,TelcoConnect Mesh Router,router,SNC31EE2944B,2025-11-26,active,4.0.1
DVC000194,ACCT000194,CUST000194,DEV_MODEM_STD,TelcoConnect Modem,modem,SN825D1C59A5,2026-06-03,active,4.1.0
