account_id,usage_date,gb_used
ACCT000003,2026-06-04,11.27
ACCT000003,2026-06-05,29.05
ACCT000003,2026-06-06,12.87
ACCT000003,2026-06-07,16.21
ACCT000003,2026-06-08,7.05
ACCT000003,2026-06-09,6.46
ACCT000003,2026-06-10,10.89
ACCT000003,2026-06-11,13.6
ACCT000003,2026-06-12,20.99
ACCT000003,2026-06-13,41.91
ACCT000003,2026-06-14,6.38
ACCT000003,2026-06-15,3.86
ACCT000003,2026-06-16,3.43
ACCT000003,2026-06-17,17.6
ACCT000003,2026-06-18,21.15
ACCT000003,2026-06-19,8.9
ACCT000003,2026-06-20,16.73
ACCT000003,2026-06-21,31.02
ACCT000003,2026-06-22,12.75
ACCT000003,2026-06-23,11.86
ACCT000003,2026-06-24,5.43
ACCT000003,2026-06-25,20.3
ACCT000003,2026-06-26,8.22
ACCT000003,2026-06-27,24.05
ACCT000003,2026-06-28,12.48
ACCT000003,2026-06-29,13.56
ACCT000004,2026-05-31,1.19
ACCT000004,2026-06-01,14.29
ACCT000004,2026-06-02,12.17
ACCT000004,2026-06-03,3.62
ACCT000004,2026-06-04,10.98
ACCT000004,2026-06-05,2.81
ACCT000004,2026-06-06,11.11
ACCT000004,2026-06-07,9.66
ACCT000004,2026-06-08,18.03
ACCT000004,2026-06-09,9.47
ACCT000004,2026-06-10,3.35
ACCT000004,2026-06-11,7.59
ACCT000004,2026-06-12,5.53
ACCT000004,2026-06-13,17.34
ACCT000004,2026-06-14,1.86
ACCT000004,2026-06-15,7.37
ACCT000004,2026-06-16,3.22
ACCT000004,2026-06-17,20.36
ACCT000004,2026-06-18,7.96
ACCT000004,2026-06-19,10.12
ACCT000004,2026-06-20,5.58
ACCT000004,2026-06-21,11.25
ACCT000004,2026-06-22,3.36
ACCT000004,2026-06-23,3.55
ACCT000004,2026-06-24,17.19
ACCT000004,2026-06-25,30.01
ACCT000004,2026-06-26,1.34
ACCT000004,2026-06-27,4.39
ACCT000004,2026-06-28,13.9
ACCT000004,2026-06-29,9.64
ACCT000005,2026-05-31,4.29
ACCT000005,2026-06-01,6.1
ACCT000005,2026-06-02,4.58
ACCT000005,2026-06-03,12.14
ACCT000005,2026-06-04,4.27
ACCT000005,2026-06-05,6.17
ACCT000005,2026-06-06,13.7
ACCT000005,2026-06-07,9.82
ACCT000005,2026-06-08,17.3
ACCT000005,2026-06-09,4.16
ACCT000005,2026-06-10,5.99
ACCT000005,2026-06-11,3.76
ACCT000005,2026-06-12,5.3
ACCT000005,2026-06-13,2.41
ACCT000005,2026-06-14,0.66
ACCT000005,2026-06-15,2.07
ACCT000005,2026-06-16,14.12
ACCT000005,2026-06-17,2.24
ACCT000005,2026-06-18,10.68
ACCT000005,2026-06-19,5.53
ACCT000005,2026-06-20,6.31
ACCT000005,2026-06-21,2.5
ACCT000005,2026-06-22,4.74
ACCT000005,2026-06-23,9.19
ACCT000005,2026-06-24,2.28
ACCT000005,2026-06-25,4.48
ACCT000005,2026-06-26,8.14
ACCT000005,2026-06-27,10.87
ACCT000005,2026-06-28,6.49
ACCT000005,2026-06-29,23.77
ACCT000006,2026-05-31,17.19
ACCT000006,2026-06-01,27.49
ACCT000006,2026-06-02,20.17
ACCT000006,2026-06-03,12.31
ACCT000006,2026-06-04,2.64
ACCT000006,2026-06-05,30.02
ACCT000006,2026-06-06,29.78
ACCT000006,2026-06-07,50.62
ACCT000006,2026-06-08,12.41
ACCT000006,2026-06-09,63.77
ACCT000006,2026-06-10,28.61
ACCT000006,2026-06-11,38.0
ACCT000006,2026-06-12,5.83
ACCT000006,2026-06-13,18.44
ACCT000006,2026-06-14,45.38
ACCT000006,2026-06-15,5.72
ACCT000006,2026-06-16,0.43
ACCT000006,2026-06-17,11.6
ACCT000006,2026-06-18,52.34
ACCT000006,2026-06-19,40.66
ACCT000006,2026-06-20,17.01
ACCT000006,2026-06-21,9.94
ACCT000006,2026-06-22,25.5
ACCT000006,2026-06-23,40.74
ACCT000006,2026-06-24,28.61
ACCT000006,2026-06-25,44.85
ACCT000006,2026-06-26,45.01
ACCT000006,2026-06-27,23.86
ACCT000006,2026-06-28,29.71
ACCT000006,2026-06-29,20.15
ACCT000007,2026-05-31,1.18
ACCT000007,2026-06-01,8.08
ACCT000007,2026-06-02,2.29
ACCT000007,2026-06-03,1.98
ACCT000007,2026-06-04,13.54
ACCT000007,2026-06-05,4.31
ACCT000007,2026-06-06,5.72
ACCT000007,2026-06-07,2.93
ACCT000007,2026-06-08,3.4
ACCT000007,2026-06-09,6.41
ACCT000007,2026-06-10,8.49
ACCT000007,2026-06-11,6.12
ACCT000007,2026-06-12,9.77
ACCT000007,2026-06-13,12.11
ACCT000007,2026-06-14,1.46
ACCT000007,2026-06-15,10.2
ACCT000007,2026-06-16,8.07
ACCT000007,2026-06-17,7.95
ACCT000007,2026-06-18,2.45
ACCT000007,2026-06-19,5.02
ACCT000007,2026-06-20,10.79
ACCT000007,2026-06-21,2.11
ACCT000007,2026-06-22,28.14
ACCT000007,2026-06-23,13.57
ACCT000007,2026-06-24,3.12
ACCT000007,2026-06-25,5.35
ACCT000007,2026-06-26,1.86
ACCT000007,2026-06-27,13.94
ACCT000007,2026-06-28,6.19
ACCT000007,2026-06-29,8.29
ACCT000008,2026-05-31,2.37
ACCT000008,2026-06-01,3.81
ACCT000008,2026-06-02,1.03
ACCT000008,2026-06-03,11.16
ACCT000008,2026-06-04,3.81
ACCT000008,2026-06-05,4.16
ACCT000008,2026-06-06,2.96
ACCT000008,2026-06-07,1.01
ACCT000008,2026-06-08,1.81
ACCT000008,2026-06-09,1.62
ACCT000008,2026-06-10,5.26
ACCT000008,2026-06-11,1.12
ACCT000008,2026-06-12,2.48
ACCT000008,2026-06-13,0.75
ACCT000008,2026-06-14,3.74
ACCT000008,2026-06-15,1.34
ACCT000008,2026-06-16,4.02
ACCT000008,2026-06-17,4.89
ACCT000008,2026-06-18,8.04
ACCT000008,2026-06-19,2.13
ACCT000008,2026-06-20,2.93
ACCT000008,2026-06-21,2.35
ACCT000008,2026-06-22,1.77
ACCT000008,2026-06-23,4.47
ACCT000008,2026-06-24,1.69
ACCT000008,2026-06-25,3.84
ACCT000008,2026-06-26,0.13
ACCT000008,2026-06-27,1.34
ACCT000008,2026-06-28,4.56
ACCT000008,2026-06-29,2.44
ACCT000009,2026-05-31,26.92
ACCT000009,2026-06-01,13.38
ACCT000009,2026-06-02,23.18
ACCT000009,2026-06-03,7.03
ACCT000009,2026-06-04,20.82
ACCT000009,2026-06-05,18.18
ACCT000009,2026-06-06,12.05
ACCT000009,2026-06-07,23.43
ACCT000009,2026-06-08,26.03
ACCT000009,2026-06-09,21.94
ACCT000009,2026-06-10,24.03
ACCT000009,2026-06-11,18.23
ACCT000009,2026-06-12,4.87
ACCT000009,2026-06-13,14.37
ACCT000009,2026-06-14,12.19
ACCT000009,2026-06-15,16.89
ACCT000009,2026-06-16,26.29
ACCT000009,2026-06-17,22.45
ACCT000009,2026-06-18,21.6
ACCT000009,2026-06-19,1.29
ACCT000009,2026-06-20,12.41
ACCT000009,2026-06-21,9.51
ACCT000009,2026-06-22,19.71
ACCT000009,2026-06-23,30.7
ACCT000009,2026-06-24,16.17
ACCT000009,2026-06-25,3.89
ACCT000009,2026-06-26,13.36
ACCT000009,2026-06-27,0.21
ACCT000009,2026-06-28,24.51
ACCT000009,2026-06-29,9.26
ACCT000010,2026-05-31,34.74
ACCT000010,2026-06-01,35.49
ACCT000010,2026-06-02,40.5
ACCT000010,2026-06-03,11.27
ACCT000010,2026-06-04,57.74
ACCT000010,2026-06-05,34.63
ACCT000010,2026-06-06,12.01
ACCT000010,2026-06-07,37.45
ACCT000010,2026-06-08,11.58
ACCT000010,2026-06-09,21.36
ACCT000010,2026-06-10,25.82
ACCT000010,2026-06-11,24.53
ACCT000010,2026-06-12,9.12
ACCT000010,2026-06-13,39.62
ACCT000010,2026-06-14,31.3
ACCT000010,2026-06-15,47.67
ACCT000010,2026-06-16,39.04
ACCT000010,2026-06-17,34.29
ACCT000010,2026-06-18,34.61
ACCT000010,2026-06-19,25.75
ACCT000010,2026-06-20,15.67
ACCT000010,2026-06-21,26.59
ACCT000010,2026-06-22,8.46
ACCT000010,2026-06-23,37.26
ACCT000010,2026-06-24,68.91
ACCT000010,2026-06-25,27.34
ACCT000010,2026-06-26,12.74
ACCT000010,2026-06-27,7.69
ACCT000010,2026-06-28,15.24
ACCT000010,2026-06-29,34.83
ACCT000011,2026-05-31,14.21
ACCT000011,2026-06-01,12.35
ACCT000011,2026-06-02,9.54
ACCT000011,2026-06-03,13.51
ACCT000011,2026-06-04,2.67
ACCT000011,2026-06-05,7.89
ACCT000011,2026-06-06,7.52
ACCT000011,2026-06-07,7.79
ACCT000011,2026-06-08,17.83
ACCT000011,2026-06-09,2.43
ACCT000011,2026-06-10,7.8
ACCT000011,2026-06-11,10.89
ACCT000011,2026-06-12,9.39
ACCT000011,2026-06-13,9.68
ACCT000011,2026-06-14,2.3
ACCT000011,2026-06-15,13.27
ACCT000011,2026-06-16,3.06
ACCT000011,2026-06-17,4.24
ACCT000011,2026-06-18,17.71
ACCT000011,2026-06-19,10.83
ACCT000011,2026-06-20,6.65
ACCT000011,2026-06-21,33.61
ACCT000011,2026-06-22,7.92
ACCT000011,2026-06-23,4.11
ACCT000011,2026-06-24,1.75
ACCT000011,2026-06-25,19.99
ACCT000011,2026-06-26,16.71
ACCT000011,2026-06-27,10.23
ACCT000011,2026-06-28,5.54
ACCT000011,2026-06-29,14.78
ACCT000012,2026-05-31,7.7
ACCT000012,2026-06-01,0.24
ACCT000012,2026-06-02,1.93
ACCT000012,2026-06-03,8.54
ACCT000012,2026-06-04,1.48
ACCT000012,2026-06-05,3.63
ACCT000012,2026-06-06,4.56
ACCT000012,2026-06-07,2.51
ACCT000012,2026-06-08,5.32
ACCT000012,2026-06-09,2.53
ACCT000012,2026-06-10,1.94
ACCT000012,2026-06-11,1.38
ACCT000012,2026-06-12,1.36
ACCT000012,2026-06-13,9.44
ACCT000012,2026-06-14,7.39
ACCT000012,2026-06-15,5.11
ACCT000012,2026-06-16,4.49
ACCT000012,2026-06-17,15.84
ACCT000012,2026-06-18,8.66
ACCT000012,2026-06-19,11.31
ACCT000012,2026-06-20,4.72
ACCT000012,2026-06-21,2.45
ACCT000012,2026-06-22,1.86
ACCT000012,2026-06-23,2.14
ACCT000012,2026-06-24,2.73
ACCT000012,2026-06-25,4.59
ACCT000012,2026-06-26,5.19
ACCT000012,2026-06-27,3.66
ACCT000012,2026-06-28,3.27
ACCT000012,2026-06-29,1.55
ACCT000013,2026-05-31,63.44
ACCT000013,2026-06-01,4.72
ACCT000013,2026-06-02,51.2
ACCT000013,2026-06-03,14.53
ACCT000013,2026-06-04,14.02
ACCT000013,2026-06-05,9.96
ACCT000013,2026-06-06,27.91
ACCT000013,2026-06-07,7.91
ACCT000013,2026-06-08,18.57
ACCT000013,2026-06-09,25.61
ACCT000013,2026-06-10,2.14
ACCT000013,2026-06-11,11.25
ACCT000013,2026-06-12,65.8
ACCT000013,2026-06-13,10.49
ACCT000013,2026-06-14,8.71
ACCT000013,2026-06-15,12.36
ACCT000013,2026-06-16,75.75
ACCT000013,2026-06-17,51.76
ACCT000013,2026-06-18,16.79
ACCT000013,2026-06-19,36.36
ACCT000013,2026-06-20,16.6
ACCT000013,2026-06-21,18.67
ACCT000013,2026-06-22,23.7
ACCT000013,2026-06-23,30.64
ACCT000013,2026-06-24,12.31
ACCT000013,2026-06-25,8.33
ACCT000013,2026-06-26,24.89
ACCT000013,2026-06-27,6.12
ACCT000013,2026-06-28,16.25
ACCT000013,2026-06-29,15.2
ACCT000014,2026-05-31,1.14
ACCT000014,2026-06-01,3.19
ACCT000014,2026-06-02,6.3
ACCT000014,2026-06-03,0.15
ACCT000014,2026-06-04,12.67
ACCT000014,2026-06-05,2.91
ACCT000014,2026-06-06,10.33
ACCT000014,2026-06-07,4.11
ACCT000014,2026-06-08,6.61
ACCT000014,2026-06-09,11.64
ACCT000014,2026-06-10,4.13
ACCT000014,2026-06-11,17.98
ACCT000014,2026-06-12,32.52
ACCT000014,2026-06-13,3.05
ACCT000014,2026-06-14,3.74
ACCT000014,2026-06-15,5.24
ACCT000014,2026-06-16,16.17
ACCT000014,2026-06-17,2.18
ACCT000014,2026-06-18,2.27
ACCT000014,2026-06-19,2.0
ACCT000014,2026-06-20,1.68
ACCT000014,2026-06-21,3.09
ACCT000014,2026-06-22,7.05
ACCT000014,2026-06-23,34.19
ACCT000014,2026-06-24,1.94
ACCT000014,2026-06-25,6.84
ACCT000014,2026-06-26,9.16
ACCT000014,2026-06-27,5.41
ACCT000014,2026-06-28,7.54
ACCT000014,2026-06-29,4.45
ACCT000015,2026-05-31,2.67
ACCT000015,2026-06-01,3.7
ACCT000015,2026-06-02,10.58
ACCT000015,2026-06-03,8.22
ACCT000015,2026-06-04,4.53
ACCT000015,2026-06-05,1.48
ACCT000015,2026-06-06,1.01
ACCT000015,2026-06-07,3.64
ACCT000015,2026-06-08,7.64
ACCT000015,2026-06-09,7.04
ACCT000015,2026-06-10,6.44
ACCT000015,2026-06-11,1.3
ACCT000015,2026-06-12,9.16
ACCT000015,2026-06-13,5.89
ACCT000015,2026-06-14,2.17
ACCT000015,2026-06-15,9.75
ACCT000015,2026-06-16,1.92
ACCT000015,2026-06-17,6.42
ACCT000015,2026-06-18,2.79
ACCT000015,2026-06-19,3.96
ACCT000015,2026-06-20,6.94
ACCT000015,2026-06-21,5.31
ACCT000015,2026-06-22,4.66
ACCT000015,2026-06-23,2.32
ACCT000015,2026-06-24,2.62
ACCT000015,2026-06-25,2.76
ACCT000015,2026-06-26,10.41
ACCT000015,2026-06-27,18.52
ACCT000015,2026-06-28,2.35
ACCT000015,2026-06-29,14.2
ACCT000017,2026-05-31,3.83
ACCT000017,2026-06-01,11.94
ACCT000017,2026-06-02,3.68
ACCT000017,2026-06-03,20.69
ACCT000017,2026-06-04,17.0
ACCT000017,2026-06-05,19.84
ACCT000017,2026-06-06,6.22
ACCT000017,2026-06-07,4.46
ACCT000017,2026-06-08,19.26
ACCT000017,2026-06-09,8.31
ACCT000017,2026-06-10,8.39
ACCT000017,2026-06-11,6.14
ACCT000017,2026-06-12,7.82
ACCT000017,2026-06-13,19.34
ACCT000017,2026-06-14,5.63
ACCT000017,2026-06-15,5.52
ACCT000017,2026-06-16,4.57
ACCT000017,2026-06-17,7.74
ACCT000017,2026-06-18,20.46
ACCT000017,2026-06-19,4.5
ACCT000017,2026-06-20,5.23
ACCT000017,2026-06-21,26.41
ACCT000017,2026-06-22,5.13
ACCT000017,2026-06-23,9.26
ACCT000017,2026-06-24,29.99
ACCT000017,2026-06-25,7.91
ACCT000017,2026-06-26,36.42
ACCT000017,2026-06-27,4.27
ACCT000017,2026-06-28,35.09
ACCT000017,2026-06-29,7.65
ACCT000018,2026-05-31,0.77
ACCT000018,2026-06-01,1.13
ACCT000018,2026-06-02,5.01
ACCT000018,2026-06-03,8.79
ACCT000018,2026-06-04,6.58
ACCT000018,2026-06-05,17.93
ACCT000018,2026-06-06,10.31
ACCT000018,2026-06-07,5.82
ACCT000018,2026-06-08,8.23
ACCT000018,2026-06-09,5.27
ACCT000018,2026-06-10,10.68
ACCT000018,2026-06-11,3.75
ACCT000018,2026-06-12,10.81
ACCT000018,2026-06-13,6.4
ACCT000018,2026-06-14,5.13
ACCT000018,2026-06-15,17.58
ACCT000018,2026-06-16,23.75
ACCT000018,2026-06-17,8.5
ACCT000018,2026-06-18,5.56
ACCT000018,2026-06-19,5.67
ACCT000018,2026-06-20,5.63
ACCT000018,2026-06-21,0.29
ACCT000018,2026-06-22,11.62
ACCT000018,2026-06-23,9.52
ACCT000018,2026-06-24,7.88
ACCT000018,2026-06-25,13.93
ACCT000018,2026-06-26,2.79
ACCT000018,2026-06-27,0.81
ACCT000018,2026-06-28,5.44
ACCT000018,2026-06-29,12.27
ACCT000019,2026-05-31,14.09
ACCT000019,2026-06-01,11.21
ACCT000019,2026-06-02,41.16
ACCT000019,2026-06-03,31.88
ACCT000019,2026-06-04,22.29
ACCT000019,2026-06-05,10.68
ACCT000019,2026-06-06,68.08
ACCT000019,2026-06-07,5.08
ACCT000019,2026-06-08,27.18
ACCT000019,2026-06-09,28.59
ACCT000019,2026-06-10,8.66
ACCT000019,2026-06-11,32.98
ACCT000019,2026-06-12,4.71
ACCT000019,2026-06-13,17.47
ACCT000019,2026-06-14,26.11
ACCT000019,2026-06-15,16.86
ACCT000019,2026-06-16,3.17
ACCT000019,2026-06-17,25.74
ACCT000019,2026-06-18,31.91
ACCT000019,2026-06-19,15.06
ACCT000019,2026-06-20,2.26
ACCT000019,2026-06-21,14.38
ACCT000019,2026-06-22,8.01
ACCT000019,2026-06-23,13.76
ACCT000019,2026-06-24,21.95
ACCT000019,2026-06-25,4.34
ACCT000019,2026-06-26,36.53
ACCT000019,2026-06-27,10.29
ACCT000019,2026-06-28,15.29
ACCT000019,2026-06-29,8.79
ACCT000020,2026-05-31,45.83
ACCT000020,2026-06-01,76.23
ACCT000020,2026-06-02,13.91
ACCT000020,2026-06-03,41.46
ACCT000020,2026-06-04,15.71
ACCT000020,2026-06-05,45.03
ACCT000020,2026-06-06,28.18
ACCT000020,2026-06-07,52.31
ACCT000020,2026-06-08,33.99
ACCT000020,2026-06-09,106.42
ACCT000020,2026-06-10,18.49
ACCT000020,2026-06-11,8.23
ACCT000020,2026-06-12,17.22
ACCT000020,2026-06-13,17.47
ACCT000020,2026-06-14,25.41
ACCT000020,2026-06-15,20.21
ACCT000020,2026-06-16,31.94
ACCT000020,2026-06-17,5.12
ACCT000020,2026-06-18,20.12
ACCT000020,2026-06-19,19.94
ACCT000020,2026-06-20,47.71
ACCT000020,2026-06-21,12.25
ACCT000020,2026-06-22,11.71
ACCT000020,2026-06-23,27.71
ACCT000020,2026-06-24,49.86
ACCT000020,2026-06-25,0.85
ACCT000020,2026-06-26,46.1
ACCT000020,2026-06-27,41.1
ACCT000020,2026-06-28,25.67
ACCT000020,2026-06-29,31.05
ACCT000021,2026-05-31,10.51
ACCT000021,2026-06-01,3.21
ACCT000021,2026-06-02,1.39
ACCT000021,2026-06-03,7.62
ACCT000021,2026-06-04,7.16
ACCT000021,2026-06-05,0.57
ACCT000021,2026-06-06,14.5
ACCT000021,2026-06-07,6.82
ACCT000021,2026-06-08,2.4
ACCT000021,2026-06-09,7.24
ACCT000021,2026-06-10,6.53
ACCT000021,2026-06-11,3.6
ACCT000021,2026-06-12,5.69
ACCT000021,2026-06-13,5.72
ACCT000021,2026-06-14,5.23
ACCT000021,2026-06-15,4.88
ACCT000021,2026-06-16,6.59
ACCT000021,2026-06-17,5.86
ACCT000021,2026-06-18,3.22
ACCT000021,2026-06-19,1.97
ACCT000021,2026-06-20,5.66
ACCT000021,2026-06-21,8.47
ACCT000021,2026-06-22,5.5
ACCT000021,2026-06-23,3.17
ACCT000021,2026-06-24,0.89
ACCT000021,2026-06-25,14.82
ACCT000021,2026-06-26,6.94
ACCT000021,2026-06-27,6.58
ACCT000021,2026-06-28,3.62
ACCT000021,2026-06-29,0.93
ACCT000022,2026-05-31,8.5
ACCT000022,2026-06-01,37.65
ACCT000022,2026-06-02,4.51
ACCT000022,2026-06-03,2.05
ACCT000022,2026-06-04,41.66
ACCT000022,2026-06-05,6.91
ACCT000022,2026-06-06,12.33
ACCT000022,2026-06-07,18.87
ACCT000022,2026-06-08,50.82
ACCT000022,2026-06-09,37.04
ACCT000022,2026-06-10,13.56
ACCT000022,2026-06-11,8.96
ACCT000022,2026-06-12,5.11
ACCT000022,2026-06-13,19.93
ACCT000022,2026-06-14,15.67
ACCT000022,2026-06-15,2.42
ACCT000022,2026-06-16,12.27
ACCT000022,2026-06-17,15.98
ACCT000022,2026-06-18,21.24
ACCT000022,2026-06-19,6.04
ACCT000022,2026-06-20,16.34
ACCT000022,2026-06-21,4.96
ACCT000022,2026-06-22,18.91
ACCT000022,2026-06-23,11.96
ACCT000022,2026-06-24,53.44
ACCT000022,2026-06-25,7.11
ACCT000022,2026-06-26,9.71
ACCT000022,2026-06-27,2.59
ACCT000022,2026-06-28,14.04
ACCT000022,2026-06-29,10.78
ACCT000023,2026-05-31,8.01
ACCT000023,2026-06-01,7.11
ACCT000023,2026-06-02,28.6
ACCT000023,2026-06-03,10.69
ACCT000023,2026-06-04,13.33
ACCT000023,2026-06-05,8.2
ACCT000023,2026-06-06,9.19
ACCT000023,2026-06-07,7.96
ACCT000023,2026-06-08,8.08
ACCT000023,2026-06-09,4.74
ACCT000023,2026-06-10,13.09
ACCT000023,2026-06-11,29.81
ACCT000023,2026-06-12,8.18
ACCT000023,2026-06-13,3.36
ACCT000023,2026-06-14,15.27
ACCT000023,2026-06-15,21.91
ACCT000023,2026-06-16,4.98
ACCT000023,2026-06-17,2.7
ACCT000023,2026-06-18,12.12
ACCT000023,2026-06-19,8.39
ACCT000023,2026-06-20,11.34
ACCT000023,2026-06-21,7.71
ACCT000023,2026-06-22,6.49
ACCT000023,2026-06-23,3.57
ACCT000023,2026-06-24,10.3
ACCT000023,2026-06-25,2.32
ACCT000023,2026-06-26,13.05
ACCT000023,2026-06-27,12.45
ACCT000023,2026-06-28,10.01
ACCT000023,2026-06-29,17.99
ACCT000024,2026-05-31,10.4
ACCT000024,2026-06-01,10.11
ACCT000024,2026-06-02,9.51
ACCT000024,2026-06-03,14.96
ACCT000024,2026-06-04,11.94
ACCT000024,2026-06-05,9.24
ACCT000024,2026-06-06,9.89
ACCT000024,2026-06-07,16.68
ACCT000024,2026-06-08,28.93
ACCT000024,2026-06-09,8.0
ACCT000024,2026-06-10,1.27
ACCT000024,2026-06-11,20.55
ACCT000024,2026-06-12,5.8
ACCT000024,2026-06-13,28.88
ACCT000024,2026-06-14,23.06
ACCT000024,2026-06-15,24.5
ACCT000024,2026-06-16,13.78
ACCT000024,2026-06-17,27.86
ACCT000024,2026-06-18,17.6
ACCT000024,2026-06-19,16.58
ACCT000024,2026-06-20,14.59
ACCT000024,2026-06-21,18.97
ACCT000024,2026-06-22,3.36
ACCT000024,2026-06-23,9.15
ACCT000024,2026-06-24,9.17
ACCT000024,2026-06-25,12.22
ACCT000024,2026-06-26,5.53
ACCT000024,2026-06-27,7.68
ACCT000024,2026-06-28,4.31
ACCT000024,2026-06-29,7.6
ACCT000025,2026-05-31,4.87
ACCT000025,2026-06-01,5.69
ACCT000025,2026-06-02,17.87
ACCT000025,2026-06-03,9.54
ACCT000025,2026-06-04,8.34
ACCT000025,2026-06-05,23.54
ACCT000025,2026-06-06,12.87
ACCT000025,2026-06-07,13.62
ACCT000025,2026-06-08,11.17
ACCT000025,2026-06-09,18.17
ACCT000025,2026-06-10,20.14
ACCT000025,2026-06-11,12.49
ACCT000025,2026-06-12,18.02
ACCT000025,2026-06-13,14.47
ACCT000025,2026-06-14,12.84
ACCT000025,2026-06-15,7.79
ACCT000025,2026-06-16,5.56
ACCT000025,2026-06-17,2.63
ACCT000025,2026-06-18,27.96
ACCT000025,2026-06-19,18.15
ACCT000025,2026-06-20,7.18
ACCT000025,2026-06-21,2.17
ACCT000025,2026-06-22,14.53
ACCT000025,2026-06-23,8.01
ACCT000025,2026-06-24,18.81
ACCT000025,2026-06-25,4.57
ACCT000025,2026-06-26,6.96
ACCT000025,2026-06-27,8.65
ACCT000025,2026-06-28,15.97
ACCT000025,2026-06-29,5.95
ACCT000026,2026-05-31,9.91
ACCT000026,2026-06-01,1.88
ACCT000026,2026-06-02,6.49
ACCT000026,2026-06-03,17.24
ACCT000026,2026-06-04,22.18
ACCT000026,2026-06-05,14.16
ACCT000026,2026-06-06,1.42
ACCT000026,2026-06-07,6.03
ACCT000026,2026-06-08,6.65
ACCT000026,2026-06-09,12.96
ACCT000026,2026-06-10,7.42
ACCT000026,2026-06-11,2.91
ACCT000026,2026-06-12,14.31
ACCT000026,2026-06-13,20.37
ACCT000026,2026-06-14,11.64
ACCT000026,2026-06-15,3.88
ACCT000026,2026-06-16,23.56
ACCT000026,2026-06-17,12.37
ACCT000026,2026-06-18,11.01
ACCT000026,2026-06-19,19.8
ACCT000026,2026-06-20,12.6
ACCT000026,2026-06-21,6.21
ACCT000026,2026-06-22,18.17
ACCT000026,2026-06-23,3.19
ACCT000026,2026-06-24,3.73
ACCT000026,2026-06-25,4.5
ACCT000026,2026-06-26,7.6
ACCT000026,2026-06-27,8.44
ACCT000026,2026-06-28,5.89
ACCT000026,2026-06-29,6.13
ACCT000027,2026-05-31,18.93
ACCT000027,2026-06-01,6.92
ACCT000027,2026-06-02,22.42
ACCT000027,2026-06-03,1.25
ACCT000027,2026-06-04,14.86
ACCT000027,2026-06-05,9.68
ACCT000027,2026-06-06,49.65
ACCT000027,2026-06-07,12.0
ACCT000027,2026-06-08,16.5
ACCT000027,2026-06-09,12.48
ACCT000027,2026-06-10,5.85
ACCT000027,2026-06-11,5.64
ACCT000027,2026-06-12,4.75
ACCT000027,2026-06-13,14.69
ACCT000027,2026-06-14,11.63
ACCT000027,2026-06-15,3.03
ACCT000027,2026-06-16,45.37
ACCT000027,2026-06-17,23.84
ACCT000027,2026-06-18,16.75
ACCT000027,2026-06-19,1.9
ACCT000027,2026-06-20,19.91
ACCT000027,2026-06-21,16.06
ACCT000027,2026-06-22,27.3
ACCT000027,2026-06-23,8.22
ACCT000027,2026-06-24,10.18
ACCT000027,2026-06-25,17.93
