account_id,usage_date,minutes_used
ACCT000006,2026-06-01,16
ACCT000006,2026-06-02,12
ACCT000006,2026-06-03,18
ACCT000006,2026-06-04,9
ACCT000006,2026-06-05,8
ACCT000006,2026-06-06,9
ACCT000006,2026-06-07,9
ACCT000006,2026-06-08,13
ACCT000006,2026-06-09,19
ACCT000006,2026-06-10,20
ACCT000006,2026-06-11,11
ACCT000006,2026-06-12,12
ACCT000006,2026-06-13,5
ACCT000006,2026-06-14,7
ACCT000006,2026-06-15,16
ACCT000006,2026-06-16,11
ACCT000006,2026-06-17,12
ACCT000006,2026-06-18,10
ACCT000006,2026-06-19,15
ACCT000006,2026-06-20,16
ACCT000006,2026-06-21,9
ACCT000006,2026-06-22,18
ACCT000006,2026-06-23,14
ACCT000006,2026-06-24,11
ACCT000006,2026-06-25,12
ACCT000006,2026-06-26,12
ACCT000006,2026-06-27,8
ACCT000006,2026-06-28,14
ACCT000006,2026-06-29,13
ACCT000007,2026-05-31,2
ACCT000007,2026-06-01,8
ACCT000007,2026-06-02,4
ACCT000007,2026-06-03,6
ACCT000007,2026-06-04,8
ACCT000007,2026-06-05,3
ACCT000007,2026-06-06,5
ACCT000007,2026-06-07,4
ACCT000007,2026-06-08,9
ACCT000007,2026-06-09,8
ACCT000007,2026-06-10,8
ACCT000007,2026-06-11,4
ACCT000007,2026-06-12,6
ACCT000007,2026-06-13,8
ACCT000007,2026-06-14,6
ACCT000007,2026-06-15,4
ACCT000007,2026-06-16,8
ACCT000007,2026-06-17,5
ACCT000007,2026-06-18,5
ACCT000007,2026-06-19,6
ACCT000007,2026-06-20,6
ACCT000007,2026-06-21,7
ACCT000007,2026-06-22,9
ACCT000007,2026-06-23,9
ACCT000007,2026-06-24,3
ACCT000007,2026-06-25,5
ACCT000007,2026-06-26,8
ACCT000007,2026-06-27,5
ACCT000007,2026-06-28,9
ACCT000007,2026-06-29,7
ACCT000008,2026-05-31,16
ACCT000008,2026-06-01,15
ACCT000008,2026-06-02,18
ACCT000008,2026-06-03,26
ACCT000008,2026-06-04,14
ACCT000008,2026-06-05,22
ACCT000008,2026-06-06,29
ACCT000008,2026-06-07,19
ACCT000008,2026-06-08,16
ACCT000008,2026-06-09,22
ACCT000008,2026-06-10,19
ACCT000008,2026-06-11,14
ACCT000008,2026-06-12,20
ACCT000008,2026-06-13,15
ACCT000008,2026-06-14,24
ACCT000008,2026-06-15,21
ACCT000008,2026-06-16,21
ACCT000008,2026-06-17,20
ACCT000008,2026-06-18,21
ACCT000008,2026-06-19,15
ACCT000008,2026-06-20,20
ACCT000008,2026-06-21,16
ACCT000008,2026-06-22,28
ACCT000008,2026-06-23,16
ACCT000008,2026-06-24,21
ACCT000008,2026-06-25,23
ACCT000008,2026-06-26,20
ACCT000008,2026-06-27,23
ACCT000008,2026-06-28,23
ACCT000008,2026-06-29,14
ACCT000009,2026-05-31,6
ACCT000009,2026-06-01,7
ACCT000009,2026-06-02,8
ACCT000009,2026-06-03,7
ACCT000009,2026-06-04,9
ACCT000009,2026-06-05,6
ACCT000009,2026-06-06,4
ACCT000009,2026-06-07,3
ACCT000009,2026-06-08,3
ACCT000009,2026-06-09,3
ACCT000009,2026-06-10,7
ACCT000009,2026-06-11,4
ACCT000009,2026-06-12,5
ACCT000009,2026-06-13,5
ACCT000009,2026-06-14,8
ACCT000009,2026-06-15,5
ACCT000009,2026-06-16,8
ACCT000009,2026-06-17,10
ACCT000009,2026-06-18,5
ACCT000009,2026-06-19,3
ACCT000009,2026-06-20,6
ACCT000009,2026-06-21,5
ACCT000009,2026-06-22,7
ACCT000009,2026-06-23,1
ACCT000009,2026-06-24,5
ACCT000009,2026-06-25,2
ACCT000009,2026-06-26,1
ACCT000009,2026-06-27,4
ACCT000009,2026-06-28,2
ACCT000009,2026-06-29,5
ACCT000010,2026-05-31,25
ACCT000010,2026-06-01,33
ACCT000010,2026-06-02,22
ACCT000010,2026-06-03,20
ACCT000010,2026-06-04,29
ACCT000010,2026-06-05,24
ACCT000010,2026-06-06,26
ACCT000010,2026-06-07,21
ACCT000010,2026-06-08,27
ACCT000010,2026-06-09,22
ACCT000010,2026-06-10,24
ACCT000010,2026-06-11,23
ACCT000010,2026-06-12,14
ACCT000010,2026-06-13,20
ACCT000010,2026-06-14,21
ACCT000010,2026-06-15,23
ACCT000010,2026-06-16,24
ACCT000010,2026-06-17,19
ACCT000010,2026-06-18,23
ACCT000010,2026-06-19,26
ACCT000010,2026-06-20,28
ACCT000010,2026-06-21,24
ACCT000010,2026-06-22,26
ACCT000010,2026-06-23,25
ACCT000010,2026-06-24,17
ACCT000010,2026-06-25,30
ACCT000010,2026-06-26,27
ACCT000010,2026-06-27,24
ACCT000010,2026-06-28,38
ACCT000010,2026-06-29,22
ACCT000011,2026-05-31,20
ACCT000011,2026-06-01,26
ACCT000011,2026-06-02,18
ACCT000011,2026-06-03,22
ACCT000011,2026-06-04,21
ACCT000011,2026-06-05,30
ACCT000011,2026-06-06,22
ACCT000011,2026-06-07,25
ACCT000011,2026-06-08,19
ACCT000011,2026-06-09,24
ACCT000011,2026-06-10,25
ACCT000011,2026-06-11,21
ACCT000011,2026-06-12,15
ACCT000011,2026-06-13,23
ACCT000011,2026-06-14,23
ACCT000011,2026-06-15,23
ACCT000011,2026-06-16,19
ACCT000011,2026-06-17,24
ACCT000011,2026-06-18,27
ACCT000011,2026-06-19,21
ACCT000011,2026-06-20,25
ACCT000011,2026-06-21,11
ACCT000011,2026-06-22,35
ACCT000011,2026-06-23,24
ACCT000011,2026-06-24,20
ACCT000011,2026-06-25,24
ACCT000011,2026-06-26,20
ACCT000011,2026-06-27,25
ACCT000011,2026-06-28,28
ACCT000011,2026-06-29,22
ACCT000012,2026-05-31,15
ACCT000012,2026-06-01,8
ACCT000012,2026-06-02,13
ACCT000012,2026-06-03,9
ACCT000012,2026-06-04,15
ACCT000012,2026-06-05,18
ACCT000012,2026-06-06,7
ACCT000012,2026-06-07,14
ACCT000012,2026-06-08,14
ACCT000012,2026-06-09,10
ACCT000012,2026-06-10,10
ACCT000012,2026-06-11,12
ACCT000012,2026-06-12,16
ACCT000012,2026-06-13,15
ACCT000012,2026-06-14,13
ACCT000012,2026-06-15,6
ACCT000012,2026-06-16,17
ACCT000012,2026-06-17,18
ACCT000012,2026-06-18,13
ACCT000012,2026-06-19,10
ACCT000012,2026-06-20,12
ACCT000012,2026-06-21,13
ACCT000012,2026-06-22,15
ACCT000012,2026-06-23,12
ACCT000012,2026-06-24,8
ACCT000012,2026-06-25,9
ACCT000012,2026-06-26,7
ACCT000012,2026-06-27,15
ACCT000012,2026-06-28,14
ACCT000012,2026-06-29,16
ACCT000013,2026-05-31,32
ACCT000013,2026-06-01,20
ACCT000013,2026-06-02,26
ACCT000013,2026-06-03,21
ACCT000013,2026-06-04,21
ACCT000013,2026-06-05,27
ACCT000013,2026-06-06,26
ACCT000013,2026-06-07,17
ACCT000013,2026-06-08,36
ACCT000013,2026-06-09,31
ACCT000013,2026-06-10,23
ACCT000013,2026-06-11,23
ACCT000013,2026-06-12,18
ACCT000013,2026-06-13,30
ACCT000013,2026-06-14,24
ACCT000013,2026-06-15,27
ACCT000013,2026-06-16,16
ACCT000013,2026-06-17,20
ACCT000013,2026-06-18,18
ACCT000013,2026-06-19,18
ACCT000013,2026-06-20,17
ACCT000013,2026-06-21,29
ACCT000013,2026-06-22,19
ACCT000013,2026-06-23,29
ACCT000013,2026-06-24,33
ACCT000013,2026-06-25,27
ACCT000013,2026-06-26,27
ACCT000013,2026-06-27,21
ACCT000013,2026-06-28,30
ACCT000013,2026-06-29,18
ACCT000014,2026-05-31,4
ACCT000014,2026-06-01,6
ACCT000014,2026-06-02,12
ACCT000014,2026-06-03,6
ACCT000014,2026-06-04,2
ACCT000014,2026-06-05,4
ACCT000014,2026-06-06,6
ACCT000014,2026-06-07,6
ACCT000014,2026-06-08,2
ACCT000014,2026-06-09,9
ACCT000014,2026-06-10,4
ACCT000014,2026-06-11,9
ACCT000014,2026-06-12,5
ACCT000014,2026-06-13,10
ACCT000014,2026-06-14,8
ACCT000014,2026-06-15,3
ACCT000014,2026-06-16,10
ACCT000014,2026-06-17,14
ACCT000014,2026-06-18,8
ACCT000014,2026-06-19,7
ACCT000014,2026-06-20,3
ACCT000014,2026-06-21,8
ACCT000014,2026-06-22,1
ACCT000014,2026-06-23,9
ACCT000014,2026-06-24,5
ACCT000014,2026-06-25,5
ACCT000014,2026-06-26,3
ACCT000014,2026-06-27,7
ACCT000014,2026-06-28,4
ACCT000014,2026-06-29,5
ACCT000015,2026-05-31,26
ACCT000015,2026-06-01,27
ACCT000015,2026-06-02,20
ACCT000015,2026-06-03,33
ACCT000015,2026-06-04,13
ACCT000015,2026-06-05,25
ACCT000015,2026-06-06,21
ACCT000015,2026-06-07,16
ACCT000015,2026-06-08,19
ACCT000015,2026-06-09,30
ACCT000015,2026-06-10,22
ACCT000015,2026-06-11,15
ACCT000015,2026-06-12,26
ACCT000015,2026-06-13,26
ACCT000015,2026-06-14,22
ACCT000015,2026-06-15,23
ACCT000015,2026-06-16,28
ACCT000015,2026-06-17,19
ACCT000015,2026-06-18,28
ACCT000015,2026-06-19,27
ACCT000015,2026-06-20,19
ACCT000015,2026-06-21,27
ACCT000015,2026-06-22,18
ACCT000015,2026-06-23,15
ACCT000015,2026-06-24,29
ACCT000015,2026-06-25,21
ACCT000015,2026-06-26,21
ACCT000015,2026-06-27,14
ACCT000015,2026-06-28,21
ACCT000015,2026-06-29,26
ACCT000017,2026-05-31,5
ACCT000017,2026-06-01,7
ACCT000017,2026-06-02,4
ACCT000017,2026-06-03,5
ACCT000017,2026-06-04,5
ACCT000017,2026-06-05,8
ACCT000017,2026-06-06,7
ACCT000017,2026-06-07,4
ACCT000017,2026-06-08,5
ACCT000017,2026-06-09,6
ACCT000017,2026-06-10,5
ACCT000017,2026-06-11,5
ACCT000017,2026-06-12,5
ACCT000017,2026-06-13,6
ACCT000017,2026-06-14,4
ACCT000017,2026-06-15,7
ACCT000017,2026-06-16,3
ACCT000017,2026-06-17,7
ACCT000017,2026-06-18,14
ACCT000017,2026-06-19,6
ACCT000017,2026-06-20,5
ACCT000017,2026-06-21,4
ACCT000017,2026-06-22,4
ACCT000017,2026-06-23,7
ACCT000017,2026-06-24,4
ACCT000017,2026-06-25,7
ACCT000017,2026-06-26,6
ACCT000017,2026-06-27,6
ACCT000017,2026-06-28,3
ACCT000017,2026-06-29,3
ACCT000018,2026-05-31,14
ACCT000018,2026-06-01,9
ACCT000018,2026-06-02,13
ACCT000018,2026-06-03,8
ACCT000018,2026-06-04,3
ACCT000018,2026-06-05,6
ACCT000018,2026-06-06,5
ACCT000018,2026-06-07,7
ACCT000018,2026-06-08,10
ACCT000018,2026-06-09,6
ACCT000018,2026-06-10,9
ACCT000018,2026-06-11,11
ACCT000018,2026-06-12,8
ACCT000018,2026-06-13,10
ACCT000018,2026-06-14,6
ACCT000018,2026-06-15,8
ACCT000018,2026-06-16,5
ACCT000018,2026-06-17,14
ACCT000018,2026-06-18,5
ACCT000018,2026-06-19,13
ACCT000018,2026-06-20,7
ACCT000018,2026-06-21,8
ACCT000018,2026-06-22,12
ACCT000018,2026-06-23,7
ACCT000018,2026-06-24,11
ACCT000018,2026-06-25,8
ACCT000018,2026-06-26,7
ACCT000018,2026-06-27,10
ACCT000018,2026-06-28,7
ACCT000018,2026-06-29,6
ACCT000019,2026-05-31,40
ACCT000019,2026-06-01,26
ACCT000019,2026-06-02,32
ACCT000019,2026-06-03,25
ACCT000019,2026-06-04,30
ACCT000019,2026-06-05,36
ACCT000019,2026-06-06,25
ACCT000019,2026-06-07,31
ACCT000019,2026-06-08,29
ACCT000019,2026-06-09,36
ACCT000019,2026-06-10,32
ACCT000019,2026-06-11,35
ACCT000019,2026-06-12,30
ACCT000019,2026-06-13,39
ACCT000019,2026-06-14,23
ACCT000019,2026-06-15,45
ACCT000019,2026-06-16,24
ACCT000019,2026-06-17,27
ACCT000019,2026-06-18,38
ACCT000019,2026-06-19,35
ACCT000019,2026-06-20,24
ACCT000019,2026-06-21,26
ACCT000019,2026-06-22,37
ACCT000019,2026-06-23,30
ACCT000019,2026-06-24,35
ACCT000019,2026-06-25,23
ACCT000019,2026-06-26,24
ACCT000019,2026-06-27,35
ACCT000019,2026-06-28,33
ACCT000019,2026-06-29,26
ACCT000020,2026-05-31,34
ACCT000020,2026-06-01,40
ACCT000020,2026-06-02,28
ACCT000020,2026-06-03,34
ACCT000020,2026-06-04,43
ACCT000020,2026-06-05,31
ACCT000020,2026-06-06,28
ACCT000020,2026-06-07,34
ACCT000020,2026-06-08,27
ACCT000020,2026-06-09,23
ACCT000020,2026-06-10,31
ACCT000020,2026-06-11,26
ACCT000020,2026-06-12,25
ACCT000020,2026-06-13,31
ACCT000020,2026-06-14,33
ACCT000020,2026-06-15,29
ACCT000020,2026-06-16,33
ACCT000020,2026-06-17,37
ACCT000020,2026-06-18,30
ACCT000020,2026-06-19,34
ACCT000020,2026-06-20,40
ACCT000020,2026-06-21,31
ACCT000020,2026-06-22,30
ACCT000020,2026-06-23,37
ACCT000020,2026-06-24,44
ACCT000020,2026-06-25,23
ACCT000020,2026-06-26,22
ACCT000020,2026-06-27,31
ACCT000020,2026-06-28,44
ACCT000020,2026-06-29,44
ACCT000021,2026-05-31,18
ACCT000021,2026-06-01,19
ACCT000021,2026-06-02,26
ACCT000021,2026-06-03,23
ACCT000021,2026-06-04,13
ACCT000021,2026-06-05,18
ACCT000021,2026-06-06,15
ACCT000021,2026-06-07,14
ACCT000021,2026-06-08,33
ACCT000021,2026-06-09,17
ACCT000021,2026-06-10,14
ACCT000021,2026-06-11,23
ACCT000021,2026-06-12,22
ACCT000021,2026-06-13,12
ACCT000021,2026-06-14,17
ACCT000021,2026-06-15,16
ACCT000021,2026-06-16,20
ACCT000021,2026-06-17,22
ACCT000021,2026-06-18,19
ACCT000021,2026-06-19,24
ACCT000021,2026-06-20,20
ACCT000021,2026-06-21,13
ACCT000021,2026-06-22,21
ACCT000021,2026-06-23,17
ACCT000021,2026-06-24,13
ACCT000021,2026-06-25,19
ACCT000021,2026-06-26,19
ACCT000021,2026-06-27,22
ACCT000021,2026-06-28,32
ACCT000021,2026-06-29,26
ACCT000022,2026-05-31,59
ACCT000022,2026-06-01,54
ACCT000022,2026-06-02,51
ACCT000022,2026-06-03,49
ACCT000022,2026-06-04,58
ACCT000022,2026-06-05,60
ACCT000022,2026-06-06,60
ACCT000022,2026-06-07,60
ACCT000022,2026-06-08,55
ACCT000022,2026-06-09,46
ACCT000022,2026-06-10,53
ACCT000022,2026-06-11,63
ACCT000022,2026-06-12,69
ACCT000022,2026-06-13,60
ACCT000022,2026-06-14,65
ACCT000022,2026-06-15,55
ACCT000022,2026-06-16,54
ACCT000022,2026-06-17,56
ACCT000022,2026-06-18,62
ACCT000022,2026-06-19,57
ACCT000022,2026-06-20,56
ACCT000022,2026-06-21,59
ACCT000022,2026-06-22,57
ACCT000022,2026-06-23,45
ACCT000022,2026-06-24,63
ACCT000022,2026-06-25,72
ACCT000022,2026-06-26,57
ACCT000022,2026-06-27,68
ACCT000022,2026-06-28,68
ACCT000022,2026-06-29,58
ACCT000023,2026-05-31,43
ACCT000023,2026-06-01,50
ACCT000023,2026-06-02,53
ACCT000023,2026-06-03,32
ACCT000023,2026-06-04,41
ACCT000023,2026-06-05,41
ACCT000023,2026-06-06,44
ACCT000023,2026-06-07,44
ACCT000023,2026-06-08,42
ACCT000023,2026-06-09,54
ACCT000023,2026-06-10,47
ACCT000023,2026-06-11,35
ACCT000023,2026-06-12,47
ACCT000023,2026-06-13,37
ACCT000023,2026-06-14,37
ACCT000023,2026-06-15,35
ACCT000023,2026-06-16,36
ACCT000023,2026-06-17,40
ACCT000023,2026-06-18,33
ACCT000023,2026-06-19,35
ACCT000023,2026-06-20,43
ACCT000023,2026-06-21,41
ACCT000023,2026-06-22,39
ACCT000023,2026-06-23,46
ACCT000023,2026-06-24,38
ACCT000023,2026-06-25,34
ACCT000023,2026-06-26,43
ACCT000023,2026-06-27,49
ACCT000023,2026-06-28,38
ACCT000023,2026-06-29,34
ACCT000024,2026-05-31,11
ACCT000024,2026-06-01,8
ACCT000024,2026-06-02,9
ACCT000024,2026-06-03,10
ACCT000024,2026-06-04,12
ACCT000024,2026-06-05,11
ACCT000024,2026-06-06,15
ACCT000024,2026-06-07,10
ACCT000024,2026-06-08,8
ACCT000024,2026-06-09,14
ACCT000024,2026-06-10,7
ACCT000024,2026-06-11,8
ACCT000024,2026-06-12,10
ACCT000024,2026-06-13,14
ACCT000024,2026-06-14,10
ACCT000024,2026-06-15,16
ACCT000024,2026-06-16,14
ACCT000024,2026-06-17,9
ACCT000024,2026-06-18,10
ACCT000024,2026-06-19,12
ACCT000024,2026-06-20,11
ACCT000024,2026-06-21,8
ACCT000024,2026-06-22,9
ACCT000024,2026-06-23,12
ACCT000024,2026-06-24,10
ACCT000024,2026-06-25,8
ACCT000024,2026-06-26,22
ACCT000024,2026-06-27,10
ACCT000024,2026-06-28,11
ACCT000024,2026-06-29,15
ACCT000025,2026-05-31,9
ACCT000025,2026-06-01,7
ACCT000025,2026-06-02,4
ACCT000025,2026-06-03,7
ACCT000025,2026-06-04,6
ACCT000025,2026-06-05,4
ACCT000025,2026-06-06,11
ACCT000025,2026-06-07,8
ACCT000025,2026-06-08,5
ACCT000025,2026-06-09,6
ACCT000025,2026-06-10,3
ACCT000025,2026-06-11,5
ACCT000025,2026-06-12,3
ACCT000025,2026-06-13,6
ACCT000025,2026-06-14,8
ACCT000025,2026-06-15,5
ACCT000025,2026-06-16,5
ACCT000025,2026-06-17,2
ACCT000025,2026-06-18,6
ACCT000025,2026-06-19,7
ACCT000025,2026-06-20,5
ACCT000025,2026-06-21,6
ACCT000025,2026-06-22,6
ACCT000025,2026-06-23,8
ACCT000025,2026-06-24,5
ACCT000025,2026-06-25,8
ACCT000025,2026-06-26,6
ACCT000025,2026-06-27,6
ACCT000025,2026-06-28,5
ACCT000025,2026-06-29,2
ACCT000026,2026-05-31,31
ACCT000026,2026-06-01,28
ACCT000026,2026-06-02,19
ACCT000026,2026-06-03,15
ACCT000026,2026-06-04,16
ACCT000026,2026-06-05,22
ACCT000026,2026-06-06,36
ACCT000026,2026-06-07,20
ACCT000026,2026-06-08,25
ACCT000026,2026-06-09,20
ACCT000026,2026-06-10,24
ACCT000026,2026-06-11,25
ACCT000026,2026-06-12,27
ACCT000026,2026-06-13,25
ACCT000026,2026-06-14,23
ACCT000026,2026-06-15,25
ACCT000026,2026-06-16,24
ACCT000026,2026-06-17,25
ACCT000026,2026-06-18,18
ACCT000026,2026-06-19,22
ACCT000026,2026-06-20,30
ACCT000026,2026-06-21,16
ACCT000026,2026-06-22,23
ACCT000026,2026-06-23,27
ACCT000026,2026-06-24,28
ACCT000026,2026-06-25,25
ACCT000026,2026-06-26,28
ACCT000026,2026-06-27,24
ACCT000026,2026-06-28,27
ACCT000026,2026-06-29,14
ACCT000027,2026-05-31,20
ACCT000027,2026-06-01,10
ACCT000027,2026-06-02,11
ACCT000027,2026-06-03,16
ACCT000027,2026-06-04,20
ACCT000027,2026-06-05,15
ACCT000027,2026-06-06,20
ACCT000027,2026-06-07,12
ACCT000027,2026-06-08,14
ACCT000027,2026-06-09,18
ACCT000027,2026-06-10,10
ACCT000027,2026-06-11,20
ACCT000027,2026-06-12,19
ACCT000027,2026-06-13,13
ACCT000027,2026-06-14,16
ACCT000027,2026-06-15,17
ACCT000027,2026-06-16,18
ACCT000027,2026-06-17,18
ACCT000027,2026-06-18,15
ACCT000027,2026-06-19,22
ACCT000027,2026-06-20,15
ACCT000027,2026-06-21,17
ACCT000027,2026-06-22,17
ACCT000027,2026-06-23,15
ACCT000027,2026-06-24,17
ACCT000027,2026-06-25,20
ACCT000027,2026-06-26,15
ACCT000027,2026-06-27,13
ACCT000027,2026-06-28,17
ACCT000027,2026-06-29,14
ACCT000028,2026-05-31,14
ACCT000028,2026-06-01,21
ACCT000028,2026-06-02,31
ACCT000028,2026-06-03,21
ACCT000028,2026-06-04,17
ACCT000028,2026-06-05,17
ACCT000028,2026-06-06,17
ACCT000028,2026-06-07,21
ACCT000028,2026-06-08,25
ACCT000028,2026-06-09,16
ACCT000028,2026-06-10,32
ACCT000028,2026-06-11,19
ACCT000028,2026-06-12,25
ACCT000028,2026-06-13,20
ACCT000028,2026-06-14,23
ACCT000028,2026-06-15,23
ACCT000028,2026-06-16,26
ACCT000028,2026-06-17,29
ACCT000028,2026-06-18,19
ACCT000028,2026-06-19,14
ACCT000028,2026-06-20,21
ACCT000028,2026-06-21,21
ACCT000028,2026-06-22,25
ACCT000028,2026-06-23,22
ACCT000028,2026-06-24,21
ACCT000028,2026-06-25,28
ACCT000028,2026-06-26,16
ACCT000028,2026-06-27,24
ACCT000028,2026-06-28,21
ACCT000028,2026-06-29,30
ACCT000029,2026-05-31,18
ACCT000029,2026-06-01,25
ACCT000029,2026-06-02,20
ACCT000029,2026-06-03,19
ACCT000029,2026-06-04,24
ACCT000029,2026-06-05,20
ACCT000029,2026-06-06,22
ACCT000029,2026-06-07,16
ACCT000029,2026-06-08,22
ACCT000029,2026-06-09,30
ACCT000029,2026-06-10,15
ACCT000029,2026-06-11,22
ACCT000029,2026-06-12,25
ACCT000029,2026-06-13,18
ACCT000029,2026-06-14,19
ACCT000029,2026-06-15,21
ACCT000029,2026-06-16,22
ACCT000029,2026-06-17,27
ACCT000029,2026-06-18,26
ACCT000029,2026-06-19,21
ACCT000029,2026-06-20,17
ACCT000029,2026-06-21,19
ACCT000029,2026-06-22,28
ACCT000029,2026-06-23,27
ACCT000029,2026-06-24,28
ACCT000029,2026-06-25,27
ACCT000029,2026-06-26,15
ACCT000029,2026-06-27,27
ACCT000029,2026-06-28,17
ACCT000029,2026-06-29,20
ACCT000030,2026-05-31,4
ACCT000030,2026-06-01,3
ACCT000030,2026-06-02,5
ACCT000030,2026-06-03,8
ACCT000030,2026-06-04,7
ACCT000030,2026-06-05,8
ACCT000030,2026-06-06,8
ACCT000030,2026-06-07,11
ACCT000030,2026-06-08,9
ACCT000030,2026-06-09,9
ACCT000030,2026-06-10,8
ACCT000030,2026-06-11,6
ACCT000030,2026-06-12,5
ACCT000030,2026-06-13,8
ACCT000030,2026-06-14,6
ACCT000030,2026-06-15,13
ACCT000030,2026-06-16,8
ACCT000030,2026-06-17,2
ACCT000030,2026-06-18,6
ACCT000030,2026-06-19,13
ACCT000030,2026-06-20,4
ACCT000030,2026-06-21,4
ACCT000030,2026-06-22,5
ACCT000030,2026-06-23,7
ACCT000030,2026-06-24,6
ACCT000030,2026-06-25,7
ACCT000030,2026-06-26,8
ACCT000030,2026-06-27,8
ACCT000030,2026-06-28,9
ACCT000030,2026-06-29,6
ACCT000031,2026-05-31,2
ACCT000031,2026-06-01,6
ACCT000031,2026-06-02,5
