contact_id,customer_id,channel,reason,contact_ts,handoff_to_agent,handled_by,duration_min
CON000046,CUST000025,ivr,technical_support,2026-05-07 07:04,False,self-service,5
CON000047,CUST000025,agent,plan_change,2026-04-12 03:10,False,agent,9
CON000048,CUST000026,chat,billing_question,2026-03-18 19:56,False,self-service,12
CON000049,CUST000026,chat,technical_support,2026-06-10 00:51,False,self-service,5
CON000050,CUST000026,agent,technical_support,2026-04-18 13:09,False,agent,5
CON000051,CUST000026,agent,technical_support,2026-06-07 14:49,False,agent,12
CON000052,CUST000026,ivr,plan_change,2026-03-20 11:12,False,self-service,9
CON000053,CUST000026,ivr,plan_change,2026-06-22 00:52,False,self-service,7
CON000054,CUST000029,agent,billing_question,2026-06-02 08:00,False,agent,11
CON000055,CUST000029,ivr,plan_change,2026-04-25 11:42,False,self-service,10
CON000056,CUST000029,ivr,billing_question,2026-04-26 11:13,False,self-service,8
CON000057,CUST000029,chat,plan_change,2026-05-03 03:16,False,self-service,14
CON000058,CUST000030,ivr,new_service,2026-05-10 05:45,False,self-service,5
CON000059,CUST000030,agent,general_inquiry,2026-04-10 19:54,False,agent,3
CON000060,CUST000030,chat,billing_question,2026-05-05 10:57,False,self-service,7
CON000061,CUST000030,agent,technical_support,2026-04-01 06:37,False,agent,9
CON000062,CUST000031,web,billing_question,2026-04-18 23:11,False,self-service,8
CON000063,CUST000032,chat,new_service,2026-04-20 18:48,False,self-service,4
CON000064,CUST000032,web,billing_question,2026-05-18 19:48,True,agent,6
CON000065,CUST000034,chat,technical_support,2026-03-07 02:56,False,self-service,8
CON000066,CUST000034,ivr,technical_support,2026-06-05 16:13,False,self-service,12
CON000067,CUST000035,ivr,technical_support,2026-03-25 21:24,False,self-service,6
CON000068,CUST000035,web,billing_question,2026-03-21 11:14,False,self-service,2
CON000069,CUST000037,agent,cancel_request,2026-06-16 12:57,False,agent,9
CON000070,CUST000037,web,general_inquiry,2026-03-22 11:47,True,agent,1
CON000071,CUST000038,web,technical_support,2026-05-22 22:04,False,self-service,7
CON000072,CUST000038,chat,billing_question,2026-04-20 23:39,False,self-service,8
CON000073,CUST000038,ivr,technical_support,2026-04-22 05:51,False,self-service,5
CON000074,CUST000039,ivr,technical_support,2026-05-14 19:05,False,self-service,7
CON000075,CUST000039,web,plan_change,2026-03-10 20:57,False,self-service,10
CON000076,CUST000040,chat,technical_support,2026-06-22 14:57,False,self-service,6
CON000077,CUST000041,agent,new_service,2026-06-15 00:12,False,agent,8
CON000078,CUST000042,web,outage_report,2026-03-11 20:46,False,self-service,8
CON000079,CUST000042,chat,technical_support,2026-05-05 17:31,False,self-service,12
CON000080,CUST000043,agent,billing_question,2026-05-15 22:22,False,agent,12
CON000081,CUST000043,web,billing_question,2026-05-15 12:21,False,self-service,6
CON000082,CUST000044,web,technical_support,2026-06-06 14:05,False,self-service,1
CON000083,CUST000045,agent,billing_question,2026-04-12 19:31,False,agent,3
CON000084,CUST000045,ivr,billing_question,2026-05-21 19:09,False,self-service,8
CON000085,CUST000045,ivr,billing_question,2026-06-19 03:30,False,self-service,1
CON000086,CUST000046,chat,new_service,2026-06-28 20:09,False,self-service,7
CON000087,CUST000046,chat,plan_change,2026-05-31 01:48,True,agent,9
CON000088,CUST000046,agent,technical_support,2026-04-29 12:32,False,agent,5
CON000089,CUST000046,ivr,technical_support,2026-05-22 01:09,False,self-service,5
CON000090,CUST000047,ivr,billing_question,2026-06-04 14:43,False,self-service,9
CON000091,CUST000048,chat,new_service,2026-04-03 16:00,True,agent,8
CON000092,CUST000048,web,technical_support,2026-04-12 06:42,True,agent,6
CON000093,CUST000049,web,technical_support,2026-04-02 03:47,False,self-service,1
CON000094,CUST000050,agent,billing_question,2026-05-04 06:24,False,agent,14
CON000095,CUST000050,ivr,new_service,2026-06-18 17:44,False,self-service,8
CON000096,CUST000050,web,technical_support,2026-05-21 14:59,False,self-service,10
CON000097,CUST000052,chat,technical_support,2026-05-27 09:32,False,self-service,4
CON000098,CUST000052,web,new_service,2026-06-12 19:52,True,agent,8
CON000099,CUST000052,ivr,technical_support,2026-04-28 19:22,False,self-service,9
CON000100,CUST000052,chat,billing_question,2026-04-01 18:28,False,self-service,5
CON000101,CUST000053,ivr,billing_question,2026-04-03 06:00,False,self-service,10
CON000102,CUST000053,web,outage_report,2026-03-12 12:08,False,self-service,6
CON000103,CUST000054,chat,technical_support,2026-04-05 15:48,False,self-service,5
CON000104,CUST000054,ivr,new_service,2026-03-21 09:00,False,self-service,9
CON000105,CUST000054,ivr,billing_question,2026-04-26 19:50,False,self-service,6
CON000106,CUST000055,web,technical_support,2026-06-26 05:44,False,self-service,5
CON000107,CUST000055,web,billing_question,2026-06-19 09:27,False,self-service,7
CON000108,CUST000056,chat,plan_change,2026-04-19 19:30,False,self-service,4
CON000109,CUST000056,ivr,billing_question,2026-05-26 23:39,False,self-service,13
CON000110,CUST000057,chat,billing_question,2026-04-21 04:30,True,agent,11
CON000111,CUST000058,ivr,technical_support,2026-04-14 00:14,False,self-service,8
CON000112,CUST000058,ivr,new_service,2026-04-24 19:49,False,self-service,11
CON000113,CUST000058,chat,general_inquiry,2026-04-05 18:05,False,self-service,5
CON000114,CUST000059,chat,technical_support,2026-03-12 05:46,False,self-service,1
CON000115,CUST000060,ivr,new_service,2026-04-11 21:52,False,self-service,6
CON000116,CUST000060,chat,new_service,2026-05-09 06:21,False,self-service,11
CON000117,CUST000060,web,billing_question,2026-05-10 08:47,True,agent,4
CON000118,CUST000060,agent,technical_support,2026-03-29 06:44,False,agent,7
CON000119,CUST000061,ivr,billing_question,2026-04-28 15:41,False,self-service,7
CON000120,CUST000061,chat,technical_support,2026-04-17 15:36,False,self-service,6
CON000121,CUST000062,web,plan_change,2026-03-17 18:48,False,self-service,8
CON000122,CUST000064,ivr,plan_change,2026-03-25 00:12,False,self-service,9
CON000123,CUST000066,ivr,new_service,2026-05-29 18:58,False,self-service,13
CON000124,CUST000068,ivr,billing_question,2026-04-27 00:48,False,self-service,4
CON000125,CUST000068,web,cancel_request,2026-03-25 08:52,True,agent,1
CON000126,CUST000068,agent,plan_change,2026-04-12 22:34,False,agent,3
CON000127,CUST000068,agent,plan_change,2026-03-03 18:58,False,agent,5
CON000128,CUST000068,web,billing_question,2026-06-28 00:31,False,self-service,7
CON000129,CUST000069,web,billing_question,2026-05-14 14:52,False,self-service,11
CON000130,CUST000069,agent,new_service,2026-03-08 14:30,False,agent,8
CON000131,CUST000069,ivr,plan_change,2026-05-03 13:03,False,self-service,1
CON000132,CUST000070,chat,new_service,2026-05-31 12:04,False,self-service,15
CON000133,CUST000070,agent,plan_change,2026-04-09 16:46,False,agent,11
CON000134,CUST000070,agent,new_service,2026-05-07 06:43,False,agent,9
CON000135,CUST000071,web,technical_support,2026-03-26 07:13,False,self-service,9
CON000136,CUST000071,chat,outage_report,2026-04-09 05:39,False,self-service,8
CON000137,CUST000072,chat,plan_change,2026-06-29 21:30,False,self-service,13
CON000138,CUST000072,chat,general_inquiry,2026-04-10 03:24,False,self-service,2
CON000139,CUST000073,web,billing_question,2026-06-13 17:41,False,self-service,4
CON000140,CUST000074,ivr,technical_support,2026-03-11 19:45,False,self-service,8
CON000141,CUST000075,chat,billing_question,2026-05-21 16:26,True,agent,17
CON000142,CUST000075,web,technical_support,2026-06-06 06:34,False,self-service,6
CON000143,CUST000075,web,new_service,2026-04-30 09:05,True,agent,3
CON000144,CUST000076,chat,billing_question,2026-04-06 04:47,True,agent,1
CON000145,CUST000076,ivr,plan_change,2026-05-13 08:29,False,self-service,7
CON000146,CUST000076,web,new_service,2026-06-03 20:20,False,self-service,9
CON000147,CUST000077,ivr,billing_question,2026-04-30 11:12,False,self-service,15
CON000148,CUST000077,agent,new_service,2026-06-07 04:01,False,agent,2
CON000149,CUST000078,agent,plan_change,2026-06-09 00:14,False,agent,6
CON000150,CUST000078,agent,billing_question,2026-06-04 11:31,False,agent,7
CON000151,CUST000079,chat,cancel_request,2026-03-30 07:54,False,self-service,10
CON000152,CUST000079,ivr,technical_support,2026-06-24 16:42,False,self-service,11
CON000153,CUST000079,agent,billing_question,2026-03-03 14:55,False,agent,2
CON000154,CUST000080,ivr,billing_question,2026-03-14 15:32,False,self-service,13
CON000155,CUST000081,chat,technical_support,2026-06-13 06:41,False,self-service,9
CON000156,CUST000082,agent,billing_question,2026-04-10 02:06,False,agent,5
CON000157,CUST000082,web,billing_question,2026-03-20 19:08,True,agent,9
CON000158,CUST000083,ivr,new_service,2026-06-06 20:47,False,self-service,10
CON000159,CUST000084,chat,billing_question,2026-05-19 18:31,True,agent,12
CON000160,CUST000084,ivr,new_service,2026-03-18 17:07,False,self-service,1
CON000161,CUST000084,web,outage_report,2026-03-24 23:49,False,self-service,6
CON000162,CUST000084,web,billing_question,2026-04-10 12:27,False,self-service,7
CON000163,CUST000086,web,plan_change,2026-06-12 21:21,True,agent,6
CON000164,CUST000086,ivr,technical_support,2026-05-06 16:13,False,self-service,10
CON000165,CUST000086,web,outage_report,2026-06-28 14:40,False,self-service,4
CON000166,CUST000086,chat,new_service,2026-04-30 15:53,False,self-service,2
CON000167,CUST000087,chat,new_service,2026-03-27 20:45,False,self-service,5
CON000168,CUST000088,web,technical_support,2026-04-30 11:16,False,self-service,3
CON000169,CUST000088,web,new_service,2026-06-15 19:57,False,self-service,12
CON000170,CUST000088,agent,plan_change,2026-05-10 18:27,False,agent,8
CON000171,CUST000089,web,billing_question,2026-04-02 19:48,False,self-service,17
CON000172,CUST000089,web,plan_change,2026-05-02 03:31,False,self-service,13
CON000173,CUST000089,ivr,technical_support,2026-05-03 15:03,False,self-service,7
CON000174,CUST000089,agent,new_service,2026-04-28 22:11,False,agent,1
CON000175,CUST000090,web,technical_support,2026-04-18 21:43,False,self-service,8
CON000176,CUST000091,web,billing_question,2026-03-23 20:56,False,self-service,9
CON000177,CUST000092,chat,billing_question,2026-06-20 02:55,False,self-service,9
CON000178,CUST000093,ivr,billing_question,2026-04-18 22:41,False,self-service,6
CON000179,CUST000094,agent,billing_question,2026-03-11 09:57,False,agent,1
CON000180,CUST000095,web,billing_question,2026-04-11 16:11,False,self-service,5
CON000181,CUST000096,chat,new_service,2026-03-20 16:58,False,self-service,2
CON000182,CUST000096,chat,billing_question,2026-05-26 01:26,True,agent,5
CON000183,CUST000098,ivr,new_service,2026-04-17 23:05,False,self-service,1
CON000184,CUST000099,ivr,new_service,2026-06-05 00:49,False,self-service,11
CON000185,CUST000099,web,cancel_request,2026-04-13 08:58,False,self-service,1
CON000186,CUST000099,web,technical_support,2026-04-22 23:43,False,self-service,1
CON000187,CUST000099,agent,new_service,2026-03-23 22:54,False,agent,12
CON000188,CUST000100,ivr,technical_support,2026-06-09 04:27,False,self-service,5
CON000189,CUST000101,chat,plan_change,2026-05-10 04:23,False,self-service,1
CON000190,CUST000101,ivr,general_inquiry,2026-05-21 13:46,False,self-service,1
CON000191,CUST000101,web,technical_support,2026-06-05 04:25,True,agent,2
CON000192,CUST000102,chat,new_service,2026-04-28 01:43,False,self-service,8
CON000193,CUST000103,chat,billing_question,2026-06-21 21:37,True,agent,1
CON000194,CUST000104,chat,outage_report,2026-03-18 23:15,True,agent,10
CON000195,CUST000105,chat,billing_question,2026-05-06 07:33,False,self-service,7
CON000196,CUST000105,agent,technical_support,2026-06-04 05:26,False,agent,12
CON000197,CUST000105,ivr,technical_support,2026-03-04 22:12,False,self-service,2
CON000198,CUST000105,ivr,new_service,2026-05-19 21:59,False,self-service,11
CON000199,CUST000105,chat,general_inquiry,2026-05-29 05:49,False,self-service,7
CON000200,CUST000106,web,plan_change,2026-03-06 07:07,False,self-service,10
CON000201,CUST000107,web,billing_question,2026-05-20 00:13,False,self-service,6
CON000202,CUST000107,web,new_service,2026-06-05 16:55,False,self-service,9
CON000203,CUST000107,agent,new_service,2026-05-29 01:32,False,agent,6
CON000204,CUST000108,ivr,billing_question,2026-04-11 06:02,False,self-service,11
CON000205,CUST000109,ivr,billing_question,2026-04-20 03:03,False,self-service,3
CON000206,CUST000110,web,cancel_request,2026-05-17 10:44,False,self-service,7
CON000207,CUST000110,chat,new_service,2026-04-14 03:47,False,self-service,9
CON000208,CUST000110,agent,billing_question,2026-06-28 22:58,False,agent,13
CON000209,CUST000111,chat,plan_change,2026-06-12 04:20,False,self-service,6
CON000210,CUST000113,agent,billing_question,2026-06-25 11:15,False,agent,1
CON000211,CUST000113,ivr,billing_question,2026-05-23 06:21,False,self-service,3
CON000212,CUST000113,agent,technical_support,2026-05-01 09:15,False,agent,1
CON000213,CUST000114,agent,billing_question,2026-05-10 02:33,False,agent,7
CON000214,CUST000114,web,technical_support,2026-05-09 11:22,False,self-service,6
CON000215,CUST000114,web,new_service,2026-03-20 20:08,False,self-service,10
CON000216,CUST000116,web,outage_report,2026-06-21 16:30,False,self-service,8
CON000217,CUST000116,ivr,plan_change,2026-04-25 00:32,False,self-service,2
CON000218,CUST000118,web,new_service,2026-03-26 03:17,False,self-service,9
CON000219,CUST000119,agent,technical_support,2026-06-26 06:35,False,agent,6
CON000220,CUST000119,web,general_inquiry,2026-04-12 16:34,False,self-service,5
CON000221,CUST000119,chat,general_inquiry,2026-06-15 19:12,False,self-service,3
CON000222,CUST000120,ivr,plan_change,2026-04-12 10:10,False,self-service,13
CON000223,CUST000120,web,technical_support,2026-04-03 21:14,True,agent,2
CON000224,CUST000120,chat,billing_question,2026-05-22 13:05,False,self-service,1
CON000225,CUST000120,chat,outage_report,2026-06-25 04:39,False,self-service,1
CON000226,CUST000120,chat,billing_question,2026-03-25 11:26,False,self-service,3
CON000227,CUST000121,web,general_inquiry,2026-03-04 03:02,False,self-service,6
CON000228,CUST000121,ivr,technical_support,2026-05-08 15:00,False,self-service,3
CON000229,CUST000121,web,outage_report,2026-03-30 21:24,True,agent,11
CON000230,CUST000122,agent,billing_question,2026-06-11 03:05,False,agent,7
CON000231,CUST000123,web,new_service,2026-04-05 13:11,False,self-service,4
CON000232,CUST000126,agent,billing_question,2026-04-17 02:05,False,agent,10
CON000233,CUST000128,ivr,outage_report,2026-03-10 09:54,False,self-service,6
CON000234,CUST000128,chat,cancel_request,2026-03-11 09:32,False,self-service,10
CON000235,CUST000129,chat,new_service,2026-04-13 07:05,False,self-service,12
CON000236,CUST000129,agent,outage_report,2026-03-17 22:32,False,agent,5
CON000237,CUST000129,chat,billing_question,2026-03-02 06:02,True,agent,8
CON000238,CUST000129,web,technical_support,2026-06-08 08:13,False,self-service,2
CON000239,CUST000130,chat,billing_question,2026-05-02 20:38,True,agent,3
CON000240,CUST000130,agent,billing_question,2026-05-14 06:52,False,agent,7
CON000241,CUST000131,agent,technical_support,2026-06-04 22:44,False,agent,4
CON000242,CUST000132,web,billing_question,2026-06-13 13:01,True,agent,9
CON000243,CUST000132,agent,billing_question,2026-05-15 20:56,False,agent,8
CON000244,CUST000132,web,outage_report,2026-04-07 08:32,False,self-service,5
CON000245,CUST000132,agent,plan_change,2026-04-05 10:39,False,agent,1
CON000246,CUST000134,web,plan_change,2026-04-02 19:01,False,self-service,3
CON000247,CUST000135,chat,new_service,2026-06-13 19:06,False,self-service,8
CON000248,CUST000135,web,plan_change,2026-03-13 06:29,False,self-service,1
CON000249,CUST000136,web,new_service,2026-03-22 14:08,False,self-service,4
CON000250,CUST000137,agent,outage_report,2026-03-09 11:29,False,agent,12
CON000251,CUST000138,ivr,general_inquiry,2026-04-20 05:15,False,self-service,5
CON000252,CUST000138,agent,new_service,2026-04-12 20:45,False,agent,5
CON000253,CUST000139,chat,technical_support,2026-03-13 09:16,False,self-service,11
CON000254,CUST000140,web,billing_question,2026-06-01 05:01,True,agent,9
CON000255,CUST000140,agent,outage_report,2026-06-01 19:17,False,agent,7
CON000256,CUST000141,agent,billing_question,2026-03-05 04:36,False,agent,4
CON000257,CUST000141,agent,billing_question,2026-06-13 07:55,False,agent,4
CON000258,CUST000142,chat,general_inquiry,2026-04-09 13:05,True,agent,1
CON000259,CUST000142,web,billing_question,2026-06-03 14:48,True,agent,10
CON000260,CUST000143,chat,billing_question,2026-05-03 18:35,False,self-service,8
CON000261,CUST000144,web,plan_change,2026-03-17 16:06,False,self-service,1
CON000262,CUST000144,web,new_service,2026-06-04 00:16,True,agent,9
CON000263,CUST000146,chat,billing_question,2026-06-18 17:17,False,self-service,1
CON000264,CUST000146,web,billing_question,2026-03-13 16:30,False,self-service,2
CON000265,CUST000146,ivr,billing_question,2026-03-28 01:00,False,self-service,8
CON000266,CUST000147,chat,billing_question,2026-04-11 07:49,False,self-service,9
CON000267,CUST000147,chat,technical_support,2026-05-03 22:00,False,self-service,6
CON000268,CUST000148,agent,billing_question,2026-05-24 13:19,False,agent,13
CON000269,CUST000149,web,technical_support,2026-03-25 06:14,False,self-service,6
CON000270,CUST000149,chat,plan_change,2026-03-07 03:51,False,self-service,7
CON000271,CUST000150,agent,technical_support,2026-06-13 19:38,False,agent,1
CON000272,CUST000151,ivr,new_service,2026-04-15 21:29,False,self-service,3
CON000273,CUST000152,web,new_service,2026-04-18 00:31,False,self-service,6
CON000274,CUST000152,agent,billing_question,2026-05-15 05:46,False,agent,8
CON000275,CUST000154,ivr,technical_support,2026-04-06 19:02,False,self-service,12
CON000276,CUST000154,web,outage_report,2026-04-06 16:22,False,self-service,6
CON000277,CUST000154,chat,general_inquiry,2026-04-27 13:01,True,agent,2
CON000278,CUST000155,web,technical_support,2026-05-17 19:35,True,agent,10
CON000279,CUST000156,agent,technical_support,2026-06-27 08:35,False,agent,10
CON000280,CUST000156,chat,technical_support,2026-06-01 15:23,False,self-service,9
CON000281,CUST000157,chat,billing_question,2026-03-28 06:22,False,self-service,3
CON000282,CUST000157,agent,technical_support,2026-03-13 06:31,False,agent,12
CON000283,CUST000158,chat,billing_question,2026-06-15 23:35,True,agent,12
CON000284,CUST000158,chat,technical_support,2026-05-16 23:17,False,self-service,1
CON000285,CUST000159,ivr,technical_support,2026-03-31 16:25,False,self-service,11
CON000286,CUST000160,agent,billing_question,2026-06-23 15:59,False,agent,1
CON000287,CUST000160,agent,technical_support,2026-03-10 20:41,False,agent,8
CON000288,CUST000161,chat,general_inquiry,2026-03-23 02:56,True,agent,10
CON000289,CUST000161,ivr,new_service,2026-05-07 18:09,False,self-service,12
CON000290,CUST000162,web,billing_question,2026-06-15 08:24,False,self-service,13
CON000291,CUST000163,agent,cancel_request,2026-06-29 13:39,False,agent,9
CON000292,CUST000164,chat,billing_question,2026-06-02 13:14,True,agent,10
CON000293,CUST000165,chat,billing_question,2026-03-25 02:28,True,agent,7
CON000294,CUST000165,web,billing_question,2026-05-30 13:43,False,self-service,11
CON000295,CUST000166,chat,general_inquiry,2026-06-12 00:15,False,self-service,3
CON000296,CUST000167,chat,plan_change,2026-03-09 12:24,False,self-service,3
CON000297,CUST000167,chat,billing_question,2026-06-17 17:18,True,agent,8
CON000298,CUST000169,web,new_service,2026-03-22 19:31,False,self-service,9
CON000299,CUST000169,chat,new_service,2026-04-10 21:15,False,self-service,4
CON000300,CUST000169,web,plan_change,2026-03-16 15:26,True,agent,4
CON000301,CUST000169,agent,general_inquiry,2026-04-21 01:03,False,agent,8
CON000302,CUST000169,ivr,technical_support,2026-04-17 13:10,False,self-service,4
CON000303,CUST000169,ivr,plan_change,2026-04-16 10:28,False,self-service,4
CON000304,CUST000170,chat,technical_support,2026-05-22 18:32,False,self-service,6
CON000305,CUST000170,web,billing_question,2026-05-19 23:34,False,self-service,4
CON000306,CUST000171,web,new_service,2026-05-13 23:49,True,agent,11
CON000307,CUST000172,agent,billing_question,2026-04-22 05:23,False,agent,7
CON000308,CUST000173,agent,new_service,2026-04-22 00:07,False,agent,7
CON000309,CUST000173,chat,plan_change,2026-03-13 08:29,False,self-service,3
CON000310,CUST000174,agent,technical_support,2026-03-26 06:26,False,agent,10
CON000311,CUST000175,web,cancel_request,2026-06-18 18:22,False,self-service,1
CON000312,CUST000175,chat,cancel_request,2026-04-14 08:44,False,self-service,1
CON000313,CUST000176,web,cancel_request,2026-06-17 06:53,True,agent,5
CON000314,CUST000176,ivr,plan_change,2026-04-13 02:18,False,self-service,4
CON000315,CUST000177,ivr,new_service,2026-04-13 10:51,False,self-service,7
CON000316,CUST000178,ivr,plan_change,2026-05-26 02:09,False,self-service,5
CON000317,CUST000178,web,technical_support,2026-06-01 03:40,True,agent,7
CON000318,CUST000178,chat,billing_question,2026-03-24 03:31,False,self-service,1
CON000319,CUST000178,chat,billing_question,2026-05-13 20:18,False,self-service,9
CON000320,CUST000179,web,technical_support,2026-03-13 16:23,False,self-service,7
CON000321,CUST000180,chat,billing_question,2026-05-29 17:45,False,self-service,7
CON000322,CUST000181,ivr,plan_change,2026-04-20 19:30,False,self-service,5
CON000323,CUST000181,ivr,cancel_request,2026-05-28 09:20,False,self-service,9
CON000324,CUST000181,web,technical_support,2026-04-20 03:40,False,self-service,9
CON000325,CUST000182,web,technical_support,2026-03-17 00:06,False,self-service,11
CON000326,CUST000182,web,billing_question,2026-05-01 18:23,False,self-service,1
CON000327,CUST000183,ivr,new_service,2026-03-13 21:54,False,self-service,3
CON000328,CUST000184,chat,technical_support,2026-03-20 19:24,False,self-service,3
CON000329,CUST000184,ivr,plan_change,2026-04-15 18:54,False,self-service,10
CON000330,CUST000184,agent,cancel_request,2026-04-27 00:24,False,agent,1
CON000331,CUST000186,web,outage_report,2026-04-20 12:16,False,self-service,6
CON000332,CUST000186,web,technical_support,2026-04-28 22:23,False,self-service,10
CON000333,CUST000186,ivr,new_service,2026-04-02 06:23,False,self-service,1
CON000334,CUST000186,agent,billing_question,2026-05-12 00:33,False,agent,2
CON000335,CUST000187,agent,outage_report,2026-06-15 05:34,False,agent,9
CON000336,CUST000189,web,technical_support,2026-06-18 10:37,False,self-service,11
CON000337,CUST000190,web,technical_support,2026-03-30 02:23,False,self-service,2
CON000338,CUST000191,web,billing_question,2026-06-26 17:33,False,self-service,9
CON000339,CUST000192,agent,billing_question,2026-03-07 01:50,False,agent,10
CON000340,CUST000192,chat,billing_question,2026-03-08 00:01,False,self-service,11
CON000341,CUST000193,agent,billing_question,2026-05-05 10:41,False,agent,8
CON000342,CUST000193,agent,billing_question,2026-03-12 00:02,False,agent,6
CON000343,CUST000193,ivr,new_service,2026-03-24 15:27,False,self-service,9
CON000344,CUST000193,ivr,billing_question,2026-03-03 05:16,False,self-service,3
CON000345,CUST000193,ivr,outage_report,2026-04-04 00:16,False,self-service,10
CON000346,CUST000194,chat,outage_report,2026-06-07 13:37,False,self-service,10
CON000347,CUST000195,agent,billing_question,2026-04-16 00:34,False,agent,11
CON000348,CUST000195,web,outage_report,2026-06-22 15:12,False,self-service,9
CON000349,CUST000197,ivr,technical_support,2026-05-24 23:49,False,self-service,3
CON000350,CUST000197,ivr,plan_change,2026-03-12 19:39,False,self-service,7
CON000351,CUST000198,agent,outage_report,2026-04-14 17:05,False,agent,13
CON000352,CUST000199,agent,technical_support,2026-03-11 22:16,False,agent,9
CON000353,CUST000199,agent,technical_support,2026-04-27 16:19,False,agent,8
CON000354,CUST000200,web,general_inquiry,2026-04-18 05:48,False,self-service,7
CON000355,CUST000200,agent,billing_question,2026-04-18 17:44,False,agent,11
CON000356,CUST000201,ivr,technical_support,2026-04-03 05:58,False,self-service,6
CON000357,CUST000201,chat,cancel_request,2026-04-14 05:58,False,self-service,8
CON000358,CUST000201,agent,new_service,2026-05-12 00:50,False,agent,5
CON000359,CUST000203,chat,new_service,2026-03-06 01:56,False,self-service,8
CON000360,CUST000204,agent,outage_report,2026-04-15 02:18,False,agent,7
CON000361,CUST000205,web,technical_support,2026-06-15 16:59,False,self-service,15
CON000362,CUST000205,web,new_service,2026-05-02 05:47,False,self-service,3
CON000363,CUST000206,chat,cancel_request,2026-05-03 19:25,False,self-service,5
CON000364,CUST000207,agent,plan_change,2026-03-21 04:54,False,agent,11
CON000365,CUST000207,web,technical_support,2026-05-09 12:42,True,agent,5
CON000366,CUST000207,ivr,technical_support,2026-06-15 20:53,False,self-service,7
CON000367,CUST000209,agent,new_service,2026-03-05 20:21,False,agent,10
CON000368,CUST000209,agent,outage_report,2026-05-20 23:49,False,agent,9
CON000369,CUST000209,chat,new_service,2026-06-03 05:59,True,agent,2
CON000370,CUST000211,web,outage_report,2026-04-24 04:47,False,self-service,13
